Text name: ../res/res_MLP_step_oRate10_var1.0e-06.txt
[0/30000] loss:1.038(fit:1.038+l2:0.000) bestLoss:inf
[600/30000] loss:0.296(fit:0.296+l2:0.000) bestLoss:0.296
[1200/30000] loss:0.244(fit:0.244+l2:0.000) bestLoss:0.244
[1800/30000] loss:0.234(fit:0.234+l2:0.000) bestLoss:0.234
[2400/30000] loss:0.226(fit:0.226+l2:0.000) bestLoss:0.226
[3000/30000] loss:0.222(fit:0.222+l2:0.000) bestLoss:0.222
[3600/30000] loss:0.221(fit:0.221+l2:0.000) bestLoss:0.220
[4200/30000] loss:0.215(fit:0.215+l2:0.000) bestLoss:0.215
[4800/30000] loss:0.213(fit:0.212+l2:0.000) bestLoss:0.213
[5400/30000] loss:0.215(fit:0.214+l2:0.000) bestLoss:0.213
[6000/30000] loss:0.218(fit:0.217+l2:0.000) bestLoss:0.213
[6600/30000] loss:0.210(fit:0.210+l2:0.000) bestLoss:0.210
[7200/30000] loss:0.213(fit:0.212+l2:0.000) bestLoss:0.210
[7800/30000] loss:0.213(fit:0.212+l2:0.000) bestLoss:0.210
[8400/30000] loss:0.212(fit:0.211+l2:0.000) bestLoss:0.210
[9000/30000] loss:0.210(fit:0.210+l2:0.000) bestLoss:0.210
[9600/30000] loss:0.210(fit:0.209+l2:0.000) bestLoss:0.210
[10200/30000] loss:0.211(fit:0.210+l2:0.000) bestLoss:0.210
[10800/30000] loss:0.209(fit:0.209+l2:0.000) bestLoss:0.209
[11400/30000] loss:0.208(fit:0.208+l2:0.000) bestLoss:0.208
[12000/30000] loss:0.212(fit:0.212+l2:0.000) bestLoss:0.208
[12600/30000] loss:0.208(fit:0.208+l2:0.000) bestLoss:0.208
[13200/30000] loss:0.209(fit:0.209+l2:0.000) bestLoss:0.208
[13800/30000] loss:0.208(fit:0.208+l2:0.000) bestLoss:0.208
[14400/30000] loss:0.207(fit:0.206+l2:0.000) bestLoss:0.207
[15000/30000] loss:0.207(fit:0.207+l2:0.000) bestLoss:0.207
[15600/30000] loss:0.205(fit:0.205+l2:0.000) bestLoss:0.205
[16200/30000] loss:0.205(fit:0.204+l2:0.000) bestLoss:0.205
[16800/30000] loss:0.205(fit:0.204+l2:0.000) bestLoss:0.205
[17400/30000] loss:0.205(fit:0.204+l2:0.000) bestLoss:0.205
[18000/30000] loss:0.204(fit:0.204+l2:0.000) bestLoss:0.204
[18600/30000] loss:0.204(fit:0.204+l2:0.000) bestLoss:0.204
[19200/30000] loss:0.204(fit:0.204+l2:0.000) bestLoss:0.204
[19800/30000] loss:0.204(fit:0.204+l2:0.000) bestLoss:0.204
[20400/30000] loss:0.204(fit:0.203+l2:0.000) bestLoss:0.204
[21000/30000] loss:0.204(fit:0.203+l2:0.000) bestLoss:0.204
[21600/30000] loss:0.204(fit:0.203+l2:0.000) bestLoss:0.204
[22200/30000] loss:0.203(fit:0.203+l2:0.000) bestLoss:0.203
[22800/30000] loss:0.203(fit:0.203+l2:0.000) bestLoss:0.203
[23400/30000] loss:0.203(fit:0.203+l2:0.000) bestLoss:0.203
[24000/30000] loss:0.203(fit:0.203+l2:0.000) bestLoss:0.203
[24600/30000] loss:0.203(fit:0.203+l2:0.000) bestLoss:0.203
[25200/30000] loss:0.203(fit:0.202+l2:0.000) bestLoss:0.203
[25800/30000] loss:0.203(fit:0.202+l2:0.000) bestLoss:0.203
[26400/30000] loss:0.203(fit:0.202+l2:0.000) bestLoss:0.203
[27000/30000] loss:0.203(fit:0.202+l2:0.000) bestLoss:0.203
[27600/30000] loss:0.203(fit:0.202+l2:0.000) bestLoss:0.203
[28200/30000] loss:0.202(fit:0.202+l2:0.000) bestLoss:0.202
[28800/30000] loss:0.202(fit:0.202+l2:0.000) bestLoss:0.202
[29400/30000] loss:0.202(fit:0.202+l2:0.000) bestLoss:0.202
[29999/30000] loss:0.202(fit:0.202+l2:0.000) bestLoss:0.202
[30000/30000] loss:0.202(fit:0.202+l2:0.000) bestLoss:0.202
