Text name: ../res/res_oRate60_noise1.0e-02_tauInv1e-02.txt
[0/30000] loss:0.790(gmm:0.789+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[600/30000] loss:0.475(gmm:0.475+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[1200/30000] loss:0.462(gmm:0.462+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[1800/30000] loss:0.381(gmm:0.381+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[2400/30000] loss:0.409(gmm:0.408+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[3000/30000] loss:0.372(gmm:0.371+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[3600/30000] loss:0.348(gmm:0.348+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[4200/30000] loss:0.337(gmm:0.336+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[4800/30000] loss:0.366(gmm:0.366+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[5400/30000] loss:0.363(gmm:0.363+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[6000/30000] loss:0.332(gmm:0.332+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[6600/30000] loss:0.342(gmm:0.342+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[7200/30000] loss:0.348(gmm:0.348+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[7800/30000] loss:0.352(gmm:0.352+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[8400/30000] loss:0.298(gmm:0.298+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[9000/30000] loss:0.343(gmm:0.343+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[9600/30000] loss:0.336(gmm:0.336+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[10200/30000] loss:0.308(gmm:0.308+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[10800/30000] loss:0.297(gmm:0.297+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[11400/30000] loss:0.322(gmm:0.322+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[12000/30000] loss:0.300(gmm:0.300+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[12600/30000] loss:0.344(gmm:0.344+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[13200/30000] loss:0.339(gmm:0.339+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[13800/30000] loss:0.321(gmm:0.321+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[14400/30000] loss:0.308(gmm:0.307+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[15000/30000] loss:0.276(gmm:0.275+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.326
[15600/30000] loss:0.261(gmm:0.261+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.273
[16200/30000] loss:0.300(gmm:0.299+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.258
[16800/30000] loss:0.270(gmm:0.270+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.258
[17400/30000] loss:0.267(gmm:0.267+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.258
[18000/30000] loss:0.270(gmm:0.270+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.258
[18600/30000] loss:0.251(gmm:0.251+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.258
[19200/30000] loss:0.266(gmm:0.266+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.256
[19800/30000] loss:0.304(gmm:0.304+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.256
[20400/30000] loss:0.289(gmm:0.289+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.256
[21000/30000] loss:0.280(gmm:0.280+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.256
[21600/30000] loss:0.291(gmm:0.291+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.256
[22200/30000] loss:0.293(gmm:0.292+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.256
[22800/30000] loss:0.290(gmm:0.290+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.256
[23400/30000] loss:0.275(gmm:0.275+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.256
[24000/30000] loss:0.284(gmm:0.284+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.256
[24600/30000] loss:0.309(gmm:0.309+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.255
[25200/30000] loss:0.304(gmm:0.304+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.255
[25800/30000] loss:0.273(gmm:0.272+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.255
[26400/30000] loss:0.319(gmm:0.319+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.255
[27000/30000] loss:0.267(gmm:0.267+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.255
[27600/30000] loss:0.284(gmm:0.283+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.255
[28200/30000] loss:0.291(gmm:0.291+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.255
[28800/30000] loss:0.278(gmm:0.278+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.255
[29400/30000] loss:0.282(gmm:0.281+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.255
[29999/30000] loss:0.277(gmm:0.277+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.255
[30000/30000] loss:0.295(gmm:0.294+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.255
