Text name: ../res/res_CN_cosexp_oRate60_var1.0e-01_tau_inv2.txt
[0/30000] loss:0.763(gmm:0.763+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[600/30000] loss:0.696(gmm:0.696+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[1200/30000] loss:0.683(gmm:0.683+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[1800/30000] loss:0.670(gmm:0.670+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[2400/30000] loss:0.667(gmm:0.667+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[3000/30000] loss:0.656(gmm:0.656+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[3600/30000] loss:0.657(gmm:0.657+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[4200/30000] loss:0.659(gmm:0.659+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[4800/30000] loss:0.650(gmm:0.650+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[5400/30000] loss:0.655(gmm:0.654+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[6000/30000] loss:0.651(gmm:0.651+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[6600/30000] loss:0.652(gmm:0.651+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[7200/30000] loss:0.647(gmm:0.647+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[7800/30000] loss:0.652(gmm:0.651+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[8400/30000] loss:0.651(gmm:0.651+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[9000/30000] loss:0.656(gmm:0.656+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[9600/30000] loss:0.654(gmm:0.654+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[10200/30000] loss:0.649(gmm:0.649+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[10800/30000] loss:0.647(gmm:0.647+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[11400/30000] loss:0.644(gmm:0.644+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[12000/30000] loss:0.641(gmm:0.641+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[12600/30000] loss:0.645(gmm:0.645+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[13200/30000] loss:0.642(gmm:0.642+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[13800/30000] loss:0.644(gmm:0.644+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[14400/30000] loss:0.645(gmm:0.645+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[15000/30000] loss:0.642(gmm:0.642+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.646
[15600/30000] loss:0.638(gmm:0.638+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.640
[16200/30000] loss:0.641(gmm:0.640+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.640
[16800/30000] loss:0.641(gmm:0.640+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.636
[17400/30000] loss:0.641(gmm:0.641+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.633
[18000/30000] loss:0.639(gmm:0.639+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.633
[18600/30000] loss:0.638(gmm:0.638+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.633
[19200/30000] loss:0.638(gmm:0.638+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.633
[19800/30000] loss:0.638(gmm:0.638+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.633
[20400/30000] loss:0.640(gmm:0.639+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.633
[21000/30000] loss:0.642(gmm:0.642+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.633
[21600/30000] loss:0.639(gmm:0.638+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.633
[22200/30000] loss:0.639(gmm:0.639+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.633
[22800/30000] loss:0.637(gmm:0.637+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.633
[23400/30000] loss:0.637(gmm:0.637+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.633
[24000/30000] loss:0.633(gmm:0.633+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.633
[24600/30000] loss:0.640(gmm:0.640+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.633
[25200/30000] loss:0.641(gmm:0.641+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.633
[25800/30000] loss:0.637(gmm:0.637+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.633
[26400/30000] loss:0.641(gmm:0.641+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.633
[27000/30000] loss:0.638(gmm:0.638+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.633
[27600/30000] loss:0.635(gmm:0.635+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.633
[28200/30000] loss:0.637(gmm:0.637+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.633
[28800/30000] loss:0.642(gmm:0.642+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.633
[29400/30000] loss:0.637(gmm:0.637+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.633
[29999/30000] loss:0.636(gmm:0.635+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.633
[30000/30000] loss:0.637(gmm:0.637+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.633
