Text name: ../res/res_MLP_cosexp_oRate30_var1.0e-06.txt
[0/30000] loss:0.804(fit:0.804+l2:0.000) bestLoss:inf
[600/30000] loss:0.769(fit:0.769+l2:0.000) bestLoss:0.769
[1200/30000] loss:0.668(fit:0.668+l2:0.000) bestLoss:0.668
[1800/30000] loss:0.655(fit:0.655+l2:0.000) bestLoss:0.655
[2400/30000] loss:0.647(fit:0.647+l2:0.000) bestLoss:0.647
[3000/30000] loss:0.645(fit:0.645+l2:0.000) bestLoss:0.645
[3600/30000] loss:0.644(fit:0.644+l2:0.000) bestLoss:0.644
[4200/30000] loss:0.644(fit:0.644+l2:0.000) bestLoss:0.644
[4800/30000] loss:0.643(fit:0.643+l2:0.000) bestLoss:0.643
[5400/30000] loss:0.643(fit:0.643+l2:0.000) bestLoss:0.643
[6000/30000] loss:0.643(fit:0.643+l2:0.000) bestLoss:0.643
[6600/30000] loss:0.642(fit:0.642+l2:0.000) bestLoss:0.642
[7200/30000] loss:0.642(fit:0.642+l2:0.000) bestLoss:0.642
[7800/30000] loss:0.642(fit:0.642+l2:0.000) bestLoss:0.642
[8400/30000] loss:0.643(fit:0.643+l2:0.000) bestLoss:0.642
[9000/30000] loss:0.642(fit:0.642+l2:0.000) bestLoss:0.642
[9600/30000] loss:0.642(fit:0.642+l2:0.000) bestLoss:0.642
[10200/30000] loss:0.642(fit:0.642+l2:0.000) bestLoss:0.642
[10800/30000] loss:0.642(fit:0.642+l2:0.000) bestLoss:0.642
[11400/30000] loss:0.642(fit:0.642+l2:0.000) bestLoss:0.642
[12000/30000] loss:0.642(fit:0.642+l2:0.000) bestLoss:0.642
[12600/30000] loss:0.642(fit:0.642+l2:0.000) bestLoss:0.641
[13200/30000] loss:0.641(fit:0.641+l2:0.000) bestLoss:0.641
[13800/30000] loss:0.641(fit:0.641+l2:0.000) bestLoss:0.641
[14400/30000] loss:0.640(fit:0.640+l2:0.000) bestLoss:0.640
[15000/30000] loss:0.640(fit:0.640+l2:0.000) bestLoss:0.640
[15600/30000] loss:0.640(fit:0.640+l2:0.000) bestLoss:0.640
[16200/30000] loss:0.640(fit:0.639+l2:0.000) bestLoss:0.640
[16800/30000] loss:0.639(fit:0.639+l2:0.000) bestLoss:0.639
[17400/30000] loss:0.639(fit:0.639+l2:0.000) bestLoss:0.639
[18000/30000] loss:0.639(fit:0.639+l2:0.000) bestLoss:0.639
[18600/30000] loss:0.639(fit:0.639+l2:0.000) bestLoss:0.639
[19200/30000] loss:0.639(fit:0.639+l2:0.000) bestLoss:0.639
[19800/30000] loss:0.639(fit:0.639+l2:0.000) bestLoss:0.639
[20400/30000] loss:0.638(fit:0.638+l2:0.000) bestLoss:0.638
[21000/30000] loss:0.638(fit:0.638+l2:0.000) bestLoss:0.638
[21600/30000] loss:0.638(fit:0.638+l2:0.000) bestLoss:0.638
[22200/30000] loss:0.638(fit:0.638+l2:0.000) bestLoss:0.638
[22800/30000] loss:0.638(fit:0.638+l2:0.000) bestLoss:0.638
[23400/30000] loss:0.638(fit:0.637+l2:0.000) bestLoss:0.638
[24000/30000] loss:0.637(fit:0.637+l2:0.000) bestLoss:0.637
[24600/30000] loss:0.637(fit:0.637+l2:0.000) bestLoss:0.637
[25200/30000] loss:0.637(fit:0.637+l2:0.000) bestLoss:0.637
[25800/30000] loss:0.637(fit:0.637+l2:0.000) bestLoss:0.637
[26400/30000] loss:0.637(fit:0.637+l2:0.000) bestLoss:0.637
[27000/30000] loss:0.637(fit:0.637+l2:0.000) bestLoss:0.637
[27600/30000] loss:0.637(fit:0.637+l2:0.000) bestLoss:0.637
[28200/30000] loss:0.637(fit:0.637+l2:0.000) bestLoss:0.637
[28800/30000] loss:0.636(fit:0.636+l2:0.000) bestLoss:0.636
[29400/30000] loss:0.636(fit:0.636+l2:0.000) bestLoss:0.636
[29999/30000] loss:0.636(fit:0.636+l2:0.000) bestLoss:0.636
[30000/30000] loss:0.636(fit:0.636+l2:0.000) bestLoss:0.636
