Text name: ../res/res_MLP_linear_oRate10_var1.0e-06.txt
[0/10000] loss:0.860(fit:0.860+l2:0.000) bestLoss:inf
[200/10000] loss:0.215(fit:0.215+l2:0.000) bestLoss:0.215
[400/10000] loss:0.214(fit:0.214+l2:0.000) bestLoss:0.214
[600/10000] loss:0.214(fit:0.214+l2:0.000) bestLoss:0.214
[800/10000] loss:0.213(fit:0.213+l2:0.000) bestLoss:0.213
[1000/10000] loss:0.213(fit:0.213+l2:0.000) bestLoss:0.213
[1200/10000] loss:0.213(fit:0.213+l2:0.000) bestLoss:0.213
[1400/10000] loss:0.213(fit:0.213+l2:0.000) bestLoss:0.213
[1600/10000] loss:0.212(fit:0.212+l2:0.000) bestLoss:0.212
[1800/10000] loss:0.212(fit:0.212+l2:0.000) bestLoss:0.212
[2000/10000] loss:0.212(fit:0.212+l2:0.000) bestLoss:0.212
[2200/10000] loss:0.211(fit:0.211+l2:0.000) bestLoss:0.211
[2400/10000] loss:0.211(fit:0.211+l2:0.000) bestLoss:0.211
[2600/10000] loss:0.211(fit:0.211+l2:0.000) bestLoss:0.211
[2800/10000] loss:0.210(fit:0.210+l2:0.000) bestLoss:0.210
[3000/10000] loss:0.210(fit:0.210+l2:0.000) bestLoss:0.210
[3200/10000] loss:0.210(fit:0.210+l2:0.000) bestLoss:0.210
[3400/10000] loss:0.210(fit:0.210+l2:0.000) bestLoss:0.210
[3600/10000] loss:0.210(fit:0.210+l2:0.000) bestLoss:0.210
[3800/10000] loss:0.210(fit:0.210+l2:0.000) bestLoss:0.210
[4000/10000] loss:0.210(fit:0.210+l2:0.000) bestLoss:0.210
[4200/10000] loss:0.210(fit:0.210+l2:0.000) bestLoss:0.210
[4400/10000] loss:0.210(fit:0.210+l2:0.000) bestLoss:0.210
[4600/10000] loss:0.210(fit:0.210+l2:0.000) bestLoss:0.210
[4800/10000] loss:0.210(fit:0.210+l2:0.000) bestLoss:0.210
[5000/10000] loss:0.210(fit:0.210+l2:0.000) bestLoss:0.210
[5200/10000] loss:0.210(fit:0.210+l2:0.000) bestLoss:0.210
[5400/10000] loss:0.210(fit:0.210+l2:0.000) bestLoss:0.210
[5600/10000] loss:0.210(fit:0.210+l2:0.000) bestLoss:0.210
[5800/10000] loss:0.210(fit:0.210+l2:0.000) bestLoss:0.210
[6000/10000] loss:0.210(fit:0.210+l2:0.000) bestLoss:0.210
[6200/10000] loss:0.210(fit:0.210+l2:0.000) bestLoss:0.210
[6400/10000] loss:0.210(fit:0.210+l2:0.000) bestLoss:0.210
[6600/10000] loss:0.210(fit:0.210+l2:0.000) bestLoss:0.210
[6800/10000] loss:0.210(fit:0.210+l2:0.000) bestLoss:0.210
[7000/10000] loss:0.210(fit:0.210+l2:0.000) bestLoss:0.210
[7200/10000] loss:0.210(fit:0.210+l2:0.000) bestLoss:0.210
[7400/10000] loss:0.210(fit:0.210+l2:0.000) bestLoss:0.210
[7600/10000] loss:0.210(fit:0.210+l2:0.000) bestLoss:0.210
[7800/10000] loss:0.210(fit:0.210+l2:0.000) bestLoss:0.210
[8000/10000] loss:0.210(fit:0.210+l2:0.000) bestLoss:0.210
[8200/10000] loss:0.210(fit:0.210+l2:0.000) bestLoss:0.210
[8400/10000] loss:0.210(fit:0.210+l2:0.000) bestLoss:0.210
[8600/10000] loss:0.210(fit:0.210+l2:0.000) bestLoss:0.210
[8800/10000] loss:0.210(fit:0.210+l2:0.000) bestLoss:0.210
[9000/10000] loss:0.210(fit:0.210+l2:0.000) bestLoss:0.210
[9200/10000] loss:0.210(fit:0.210+l2:0.000) bestLoss:0.210
[9400/10000] loss:0.210(fit:0.209+l2:0.000) bestLoss:0.210
[9600/10000] loss:0.210(fit:0.210+l2:0.000) bestLoss:0.210
[9800/10000] loss:0.210(fit:0.209+l2:0.000) bestLoss:0.210
[9999/10000] loss:0.210(fit:0.209+l2:0.000) bestLoss:0.210
[10000/10000] loss:0.210(fit:0.209+l2:0.000) bestLoss:0.210
