Text name: ../res/res_MDN_cosexp_oRate10_var1.0e-06.txt
[0/20000] loss:2.265(gmm:2.265+l2:0.001) bestLoss:inf
[400/20000] loss:0.871(gmm:0.871+l2:0.001) bestLoss:0.871
[800/20000] loss:0.835(gmm:0.834+l2:0.001) bestLoss:0.835
[1200/20000] loss:0.815(gmm:0.814+l2:0.001) bestLoss:0.815
[1600/20000] loss:0.810(gmm:0.809+l2:0.001) bestLoss:0.809
[2000/20000] loss:0.801(gmm:0.800+l2:0.001) bestLoss:0.801
[2400/20000] loss:0.826(gmm:0.825+l2:0.001) bestLoss:0.801
[2800/20000] loss:0.795(gmm:0.795+l2:0.001) bestLoss:0.795
[3200/20000] loss:0.790(gmm:0.789+l2:0.001) bestLoss:0.790
[3600/20000] loss:0.788(gmm:0.787+l2:0.001) bestLoss:0.788
[4000/20000] loss:0.791(gmm:0.790+l2:0.001) bestLoss:0.788
[4400/20000] loss:0.787(gmm:0.787+l2:0.001) bestLoss:0.787
[4800/20000] loss:0.783(gmm:0.782+l2:0.001) bestLoss:0.783
[5200/20000] loss:0.782(gmm:0.781+l2:0.001) bestLoss:0.782
[5600/20000] loss:0.786(gmm:0.786+l2:0.001) bestLoss:0.782
[6000/20000] loss:0.783(gmm:0.782+l2:0.001) bestLoss:0.782
[6400/20000] loss:0.779(gmm:0.778+l2:0.001) bestLoss:0.779
[6800/20000] loss:0.777(gmm:0.776+l2:0.001) bestLoss:0.777
[7200/20000] loss:0.784(gmm:0.783+l2:0.001) bestLoss:0.777
[7600/20000] loss:0.774(gmm:0.773+l2:0.001) bestLoss:0.774
[8000/20000] loss:0.778(gmm:0.777+l2:0.001) bestLoss:0.774
[8400/20000] loss:0.773(gmm:0.773+l2:0.001) bestLoss:0.773
[8800/20000] loss:0.775(gmm:0.774+l2:0.001) bestLoss:0.773
[9200/20000] loss:0.775(gmm:0.774+l2:0.001) bestLoss:0.773
[9600/20000] loss:0.770(gmm:0.769+l2:0.001) bestLoss:0.770
[10000/20000] loss:0.772(gmm:0.771+l2:0.001) bestLoss:0.770
[10400/20000] loss:0.767(gmm:0.766+l2:0.001) bestLoss:0.767
[10800/20000] loss:0.767(gmm:0.766+l2:0.001) bestLoss:0.767
[11200/20000] loss:0.765(gmm:0.764+l2:0.001) bestLoss:0.765
[11600/20000] loss:0.765(gmm:0.765+l2:0.001) bestLoss:0.765
[12000/20000] loss:0.764(gmm:0.763+l2:0.001) bestLoss:0.764
[12400/20000] loss:0.765(gmm:0.764+l2:0.001) bestLoss:0.764
[12800/20000] loss:0.764(gmm:0.763+l2:0.001) bestLoss:0.764
[13200/20000] loss:0.763(gmm:0.762+l2:0.001) bestLoss:0.763
[13600/20000] loss:0.765(gmm:0.764+l2:0.001) bestLoss:0.763
[14000/20000] loss:0.763(gmm:0.762+l2:0.001) bestLoss:0.763
[14400/20000] loss:0.763(gmm:0.762+l2:0.001) bestLoss:0.762
[14800/20000] loss:0.761(gmm:0.760+l2:0.001) bestLoss:0.761
[15200/20000] loss:0.761(gmm:0.760+l2:0.001) bestLoss:0.761
[15600/20000] loss:0.760(gmm:0.759+l2:0.001) bestLoss:0.760
[16000/20000] loss:0.760(gmm:0.759+l2:0.001) bestLoss:0.760
[16400/20000] loss:0.760(gmm:0.759+l2:0.001) bestLoss:0.760
[16800/20000] loss:0.760(gmm:0.759+l2:0.001) bestLoss:0.760
[17200/20000] loss:0.763(gmm:0.762+l2:0.001) bestLoss:0.760
[17600/20000] loss:0.760(gmm:0.759+l2:0.001) bestLoss:0.760
[18000/20000] loss:0.760(gmm:0.759+l2:0.001) bestLoss:0.760
[18400/20000] loss:0.761(gmm:0.760+l2:0.001) bestLoss:0.760
[18800/20000] loss:0.762(gmm:0.761+l2:0.001) bestLoss:0.760
[19200/20000] loss:0.758(gmm:0.757+l2:0.001) bestLoss:0.758
[19600/20000] loss:0.759(gmm:0.758+l2:0.001) bestLoss:0.758
[19999/20000] loss:0.761(gmm:0.760+l2:0.001) bestLoss:0.758
[20000/20000] loss:0.760(gmm:0.759+l2:0.001) bestLoss:0.758
