Text name: ../res/res_CN_step_oRate0_var1.0e-06.txt
[0/20000] loss:0.995(gmm:0.992+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[400/20000] loss:0.049(gmm:0.045+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[800/20000] loss:-0.103(gmm:-0.106+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[1200/20000] loss:-0.696(gmm:-0.700+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[1600/20000] loss:-0.678(gmm:-0.682+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[2000/20000] loss:-0.849(gmm:-0.853+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[2400/20000] loss:-0.749(gmm:-0.753+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[2800/20000] loss:-0.795(gmm:-0.799+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[3200/20000] loss:-1.307(gmm:-1.312+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[3600/20000] loss:-1.209(gmm:-1.213+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[4000/20000] loss:-1.115(gmm:-1.119+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[4400/20000] loss:-1.339(gmm:-1.343+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[4800/20000] loss:-0.567(gmm:-0.572+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[5200/20000] loss:-1.213(gmm:-1.217+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[5600/20000] loss:-1.131(gmm:-1.136+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[6000/20000] loss:-1.067(gmm:-1.072+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[6400/20000] loss:-1.026(gmm:-1.030+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[6800/20000] loss:-1.245(gmm:-1.250+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[7200/20000] loss:-1.079(gmm:-1.084+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[7600/20000] loss:-1.440(gmm:-1.445+kl:0.000+l2:0.005+fit:0.000) bestLoss:inf
[8000/20000] loss:-1.233(gmm:-1.238+kl:0.000+l2:0.005+fit:0.000) bestLoss:inf
[8400/20000] loss:-1.070(gmm:-1.075+kl:0.000+l2:0.005+fit:0.000) bestLoss:inf
[8800/20000] loss:-1.113(gmm:-1.118+kl:0.000+l2:0.005+fit:0.000) bestLoss:inf
[9200/20000] loss:-1.210(gmm:-1.215+kl:0.000+l2:0.005+fit:0.000) bestLoss:inf
[9600/20000] loss:-1.220(gmm:-1.225+kl:0.000+l2:0.005+fit:0.000) bestLoss:inf
[10000/20000] loss:-1.238(gmm:-1.243+kl:0.000+l2:0.005+fit:0.000) bestLoss:-1.237
[10400/20000] loss:-1.988(gmm:-1.993+kl:0.000+l2:0.005+fit:0.000) bestLoss:-1.988
[10800/20000] loss:-2.043(gmm:-2.048+kl:0.000+l2:0.005+fit:0.000) bestLoss:-2.044
[11200/20000] loss:-2.118(gmm:-2.123+kl:0.000+l2:0.005+fit:0.000) bestLoss:-2.126
[11600/20000] loss:-2.150(gmm:-2.156+kl:0.000+l2:0.005+fit:0.000) bestLoss:-2.149
[12000/20000] loss:-2.211(gmm:-2.216+kl:0.000+l2:0.005+fit:0.000) bestLoss:-2.209
[12400/20000] loss:-2.329(gmm:-2.334+kl:0.000+l2:0.005+fit:0.000) bestLoss:-2.331
[12800/20000] loss:-2.258(gmm:-2.264+kl:0.000+l2:0.005+fit:0.000) bestLoss:-2.422
[13200/20000] loss:-2.275(gmm:-2.280+kl:0.000+l2:0.005+fit:0.000) bestLoss:-2.422
[13600/20000] loss:-2.338(gmm:-2.343+kl:0.000+l2:0.005+fit:0.000) bestLoss:-2.422
[14000/20000] loss:-2.512(gmm:-2.517+kl:0.000+l2:0.005+fit:0.000) bestLoss:-2.508
[14400/20000] loss:-2.456(gmm:-2.462+kl:0.000+l2:0.005+fit:0.000) bestLoss:-2.588
[14800/20000] loss:-2.441(gmm:-2.446+kl:0.000+l2:0.005+fit:0.000) bestLoss:-2.588
[15200/20000] loss:-2.962(gmm:-2.968+kl:0.000+l2:0.005+fit:0.000) bestLoss:-2.963
[15600/20000] loss:-3.012(gmm:-3.017+kl:0.000+l2:0.005+fit:0.000) bestLoss:-3.011
[16000/20000] loss:-3.057(gmm:-3.062+kl:0.000+l2:0.005+fit:0.000) bestLoss:-3.059
[16400/20000] loss:-3.087(gmm:-3.092+kl:0.000+l2:0.005+fit:0.000) bestLoss:-3.086
[16800/20000] loss:-3.108(gmm:-3.113+kl:0.000+l2:0.005+fit:0.000) bestLoss:-3.109
[17200/20000] loss:-3.102(gmm:-3.108+kl:0.000+l2:0.005+fit:0.000) bestLoss:-3.156
[17600/20000] loss:-3.212(gmm:-3.217+kl:0.000+l2:0.005+fit:0.000) bestLoss:-3.212
[18000/20000] loss:-3.252(gmm:-3.258+kl:0.000+l2:0.005+fit:0.000) bestLoss:-3.250
[18400/20000] loss:-3.280(gmm:-3.286+kl:0.000+l2:0.005+fit:0.000) bestLoss:-3.280
[18800/20000] loss:-3.292(gmm:-3.297+kl:0.000+l2:0.005+fit:0.000) bestLoss:-3.292
[19200/20000] loss:-3.339(gmm:-3.345+kl:0.000+l2:0.005+fit:0.000) bestLoss:-3.339
[19600/20000] loss:-3.362(gmm:-3.367+kl:0.000+l2:0.005+fit:0.000) bestLoss:-3.362
[19999/20000] loss:-3.335(gmm:-3.340+kl:0.000+l2:0.005+fit:0.000) bestLoss:-3.362
[20000/20000] loss:-3.407(gmm:-3.413+kl:0.000+l2:0.005+fit:0.000) bestLoss:-3.408
