Text name: ../res/res_MLP_linear_oRate80_var1.0e-06.txt
[0/20000] loss:2.045(fit:2.045+l2:0.000) bestLoss:inf
[400/20000] loss:2.551(fit:2.551+l2:0.000) bestLoss:2.551
[800/20000] loss:1.699(fit:1.699+l2:0.000) bestLoss:1.699
[1200/20000] loss:1.884(fit:1.884+l2:0.000) bestLoss:1.691
[1600/20000] loss:3.081(fit:3.081+l2:0.000) bestLoss:1.685
[2000/20000] loss:2.377(fit:2.377+l2:0.000) bestLoss:1.685
[2400/20000] loss:2.167(fit:2.167+l2:0.000) bestLoss:1.685
[2800/20000] loss:2.580(fit:2.580+l2:0.000) bestLoss:1.685
[3200/20000] loss:1.698(fit:1.698+l2:0.000) bestLoss:1.685
[3600/20000] loss:1.662(fit:1.662+l2:0.000) bestLoss:1.662
[4000/20000] loss:2.843(fit:2.843+l2:0.000) bestLoss:1.662
[4400/20000] loss:2.129(fit:2.129+l2:0.000) bestLoss:1.662
[4800/20000] loss:1.911(fit:1.911+l2:0.000) bestLoss:1.627
[5200/20000] loss:3.784(fit:3.784+l2:0.000) bestLoss:1.627
[5600/20000] loss:1.733(fit:1.733+l2:0.000) bestLoss:1.627
[6000/20000] loss:2.287(fit:2.287+l2:0.000) bestLoss:1.627
[6400/20000] loss:1.662(fit:1.662+l2:0.000) bestLoss:1.627
[6800/20000] loss:1.751(fit:1.750+l2:0.000) bestLoss:1.627
[7200/20000] loss:2.810(fit:2.810+l2:0.000) bestLoss:1.627
[7600/20000] loss:3.584(fit:3.584+l2:0.000) bestLoss:1.627
[8000/20000] loss:3.712(fit:3.712+l2:0.000) bestLoss:1.627
[8400/20000] loss:3.296(fit:3.296+l2:0.000) bestLoss:1.627
[8800/20000] loss:3.990(fit:3.990+l2:0.000) bestLoss:1.627
[9200/20000] loss:2.702(fit:2.702+l2:0.000) bestLoss:1.627
[9600/20000] loss:3.082(fit:3.082+l2:0.000) bestLoss:1.627
[10000/20000] loss:2.361(fit:2.361+l2:0.000) bestLoss:1.627
[10400/20000] loss:2.309(fit:2.309+l2:0.000) bestLoss:1.627
[10800/20000] loss:3.000(fit:3.000+l2:0.000) bestLoss:1.627
[11200/20000] loss:3.750(fit:3.750+l2:0.000) bestLoss:1.627
[11600/20000] loss:1.669(fit:1.669+l2:0.000) bestLoss:1.627
[12000/20000] loss:1.752(fit:1.752+l2:0.000) bestLoss:1.627
[12400/20000] loss:2.521(fit:2.521+l2:0.000) bestLoss:1.627
[12800/20000] loss:1.811(fit:1.811+l2:0.000) bestLoss:1.627
[13200/20000] loss:4.711(fit:4.711+l2:0.000) bestLoss:1.627
[13600/20000] loss:1.652(fit:1.652+l2:0.000) bestLoss:1.627
[14000/20000] loss:2.149(fit:2.149+l2:0.000) bestLoss:1.627
[14400/20000] loss:4.464(fit:4.464+l2:0.000) bestLoss:1.627
[14800/20000] loss:2.559(fit:2.559+l2:0.000) bestLoss:1.627
[15200/20000] loss:1.654(fit:1.654+l2:0.000) bestLoss:1.562
[15600/20000] loss:1.712(fit:1.712+l2:0.000) bestLoss:1.562
[16000/20000] loss:1.586(fit:1.586+l2:0.000) bestLoss:1.562
[16400/20000] loss:1.665(fit:1.665+l2:0.000) bestLoss:1.509
[16800/20000] loss:1.931(fit:1.931+l2:0.000) bestLoss:1.487
[17200/20000] loss:2.411(fit:2.411+l2:0.000) bestLoss:1.487
[17600/20000] loss:1.568(fit:1.568+l2:0.000) bestLoss:1.487
[18000/20000] loss:1.700(fit:1.700+l2:0.000) bestLoss:1.487
[18400/20000] loss:2.635(fit:2.635+l2:0.000) bestLoss:1.487
[18800/20000] loss:3.334(fit:3.334+l2:0.000) bestLoss:1.487
[19200/20000] loss:2.121(fit:2.121+l2:0.000) bestLoss:1.487
[19600/20000] loss:1.676(fit:1.676+l2:0.000) bestLoss:1.487
[19999/20000] loss:1.621(fit:1.621+l2:0.000) bestLoss:1.487
[20000/20000] loss:4.456(fit:4.456+l2:0.000) bestLoss:1.487
