Text name: ../res/res_MDN_cosexp_oRate60_var1.0e-06.txt
[0/50000] loss:3.599(gmm:3.599+l2:0.000) bestLoss:inf
[1000/50000] loss:1.575(gmm:1.575+l2:0.000) bestLoss:1.556
[2000/50000] loss:1.545(gmm:1.545+l2:0.000) bestLoss:1.545
[3000/50000] loss:1.505(gmm:1.505+l2:0.000) bestLoss:1.489
[4000/50000] loss:1.475(gmm:1.475+l2:0.000) bestLoss:1.475
[5000/50000] loss:1.485(gmm:1.485+l2:0.000) bestLoss:1.475
[6000/50000] loss:1.491(gmm:1.491+l2:0.000) bestLoss:1.466
[7000/50000] loss:1.469(gmm:1.469+l2:0.000) bestLoss:1.451
[8000/50000] loss:1.478(gmm:1.478+l2:0.000) bestLoss:1.451
[9000/50000] loss:1.458(gmm:1.458+l2:0.000) bestLoss:1.451
[10000/50000] loss:1.458(gmm:1.458+l2:0.000) bestLoss:1.443
[11000/50000] loss:1.443(gmm:1.443+l2:0.000) bestLoss:1.441
[12000/50000] loss:1.414(gmm:1.414+l2:0.000) bestLoss:1.411
[13000/50000] loss:1.503(gmm:1.503+l2:0.000) bestLoss:1.411
[14000/50000] loss:1.419(gmm:1.419+l2:0.000) bestLoss:1.411
[15000/50000] loss:1.436(gmm:1.436+l2:0.000) bestLoss:1.408
[16000/50000] loss:1.394(gmm:1.394+l2:0.000) bestLoss:1.394
[17000/50000] loss:1.391(gmm:1.391+l2:0.000) bestLoss:1.391
[18000/50000] loss:1.391(gmm:1.391+l2:0.000) bestLoss:1.391
[19000/50000] loss:1.388(gmm:1.388+l2:0.000) bestLoss:1.376
[20000/50000] loss:1.379(gmm:1.379+l2:0.000) bestLoss:1.376
[21000/50000] loss:1.387(gmm:1.387+l2:0.000) bestLoss:1.376
[22000/50000] loss:1.402(gmm:1.402+l2:0.000) bestLoss:1.376
[23000/50000] loss:1.373(gmm:1.373+l2:0.000) bestLoss:1.373
[24000/50000] loss:1.395(gmm:1.395+l2:0.000) bestLoss:1.373
[25000/50000] loss:1.373(gmm:1.373+l2:0.000) bestLoss:1.373
[26000/50000] loss:1.392(gmm:1.392+l2:0.000) bestLoss:1.373
[27000/50000] loss:1.370(gmm:1.370+l2:0.000) bestLoss:1.370
[28000/50000] loss:1.393(gmm:1.393+l2:0.000) bestLoss:1.370
[29000/50000] loss:1.376(gmm:1.376+l2:0.000) bestLoss:1.365
[30000/50000] loss:1.372(gmm:1.372+l2:0.000) bestLoss:1.365
[31000/50000] loss:1.406(gmm:1.406+l2:0.000) bestLoss:1.365
[32000/50000] loss:1.383(gmm:1.383+l2:0.000) bestLoss:1.363
[33000/50000] loss:1.367(gmm:1.367+l2:0.000) bestLoss:1.363
[34000/50000] loss:1.395(gmm:1.395+l2:0.000) bestLoss:1.363
[35000/50000] loss:1.383(gmm:1.383+l2:0.000) bestLoss:1.363
[36000/50000] loss:1.468(gmm:1.468+l2:0.000) bestLoss:1.363
[37000/50000] loss:1.360(gmm:1.360+l2:0.000) bestLoss:1.360
[38000/50000] loss:1.364(gmm:1.364+l2:0.000) bestLoss:1.360
[39000/50000] loss:1.504(gmm:1.504+l2:0.000) bestLoss:1.360
[40000/50000] loss:1.365(gmm:1.365+l2:0.000) bestLoss:1.355
[41000/50000] loss:1.382(gmm:1.382+l2:0.000) bestLoss:1.340
[42000/50000] loss:1.340(gmm:1.340+l2:0.000) bestLoss:1.340
[43000/50000] loss:1.360(gmm:1.360+l2:0.000) bestLoss:1.340
[44000/50000] loss:1.436(gmm:1.436+l2:0.000) bestLoss:1.340
[45000/50000] loss:1.368(gmm:1.368+l2:0.000) bestLoss:1.340
[46000/50000] loss:1.354(gmm:1.354+l2:0.000) bestLoss:1.340
[47000/50000] loss:1.355(gmm:1.355+l2:0.000) bestLoss:1.340
[48000/50000] loss:1.362(gmm:1.362+l2:0.000) bestLoss:1.340
[49000/50000] loss:1.341(gmm:1.341+l2:0.000) bestLoss:1.340
[49999/50000] loss:1.346(gmm:1.346+l2:0.000) bestLoss:1.334
[50000/50000] loss:1.339(gmm:1.339+l2:0.000) bestLoss:1.334
