Text name: ../res/res_CN_cosexp_oRate60_var1.0e-06.txt
[0/20000] loss:1.007(gmm:1.004+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[400/20000] loss:0.663(gmm:0.660+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[800/20000] loss:0.453(gmm:0.450+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[1200/20000] loss:0.612(gmm:0.609+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[1600/20000] loss:0.522(gmm:0.519+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[2000/20000] loss:0.471(gmm:0.468+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[2400/20000] loss:0.467(gmm:0.463+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[2800/20000] loss:0.457(gmm:0.453+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[3200/20000] loss:0.427(gmm:0.424+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[3600/20000] loss:0.391(gmm:0.387+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[4000/20000] loss:0.446(gmm:0.443+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[4400/20000] loss:0.365(gmm:0.362+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[4800/20000] loss:0.332(gmm:0.329+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[5200/20000] loss:0.321(gmm:0.318+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[5600/20000] loss:0.373(gmm:0.370+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[6000/20000] loss:0.295(gmm:0.292+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[6400/20000] loss:0.342(gmm:0.339+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[6800/20000] loss:0.293(gmm:0.289+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[7200/20000] loss:0.319(gmm:0.316+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[7600/20000] loss:0.375(gmm:0.371+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[8000/20000] loss:0.292(gmm:0.289+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[8400/20000] loss:0.286(gmm:0.283+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[8800/20000] loss:0.280(gmm:0.277+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[9200/20000] loss:0.279(gmm:0.276+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[9600/20000] loss:0.295(gmm:0.291+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[10000/20000] loss:0.358(gmm:0.354+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.371
[10400/20000] loss:0.256(gmm:0.253+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.222
[10800/20000] loss:0.211(gmm:0.207+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.222
[11200/20000] loss:0.186(gmm:0.183+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.207
[11600/20000] loss:0.212(gmm:0.208+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.207
[12000/20000] loss:0.234(gmm:0.230+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.204
[12400/20000] loss:0.238(gmm:0.234+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.204
[12800/20000] loss:0.239(gmm:0.236+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.204
[13200/20000] loss:0.274(gmm:0.271+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.181
[13600/20000] loss:0.257(gmm:0.253+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.181
[14000/20000] loss:0.183(gmm:0.179+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.181
[14400/20000] loss:0.159(gmm:0.155+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.181
[14800/20000] loss:0.217(gmm:0.214+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.181
[15200/20000] loss:0.186(gmm:0.183+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.181
[15600/20000] loss:0.260(gmm:0.256+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.181
[16000/20000] loss:0.196(gmm:0.193+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.181
[16400/20000] loss:0.219(gmm:0.215+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.177
[16800/20000] loss:0.200(gmm:0.197+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.177
[17200/20000] loss:0.213(gmm:0.210+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.177
[17600/20000] loss:0.205(gmm:0.201+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.177
[18000/20000] loss:0.225(gmm:0.221+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.177
[18400/20000] loss:0.205(gmm:0.201+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.177
[18800/20000] loss:0.215(gmm:0.212+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.177
[19200/20000] loss:0.218(gmm:0.214+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.177
[19600/20000] loss:0.263(gmm:0.259+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.177
[19999/20000] loss:0.221(gmm:0.217+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.177
[20000/20000] loss:0.219(gmm:0.215+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.177
