Text name: ../res/res_MDN_step_oRate40_var1.0e-06.txt
[0/50000] loss:3.514(gmm:3.514+l2:0.000) bestLoss:inf
[1000/50000] loss:1.499(gmm:1.499+l2:0.000) bestLoss:1.395
[2000/50000] loss:1.336(gmm:1.336+l2:0.000) bestLoss:1.336
[3000/50000] loss:1.343(gmm:1.343+l2:0.000) bestLoss:1.336
[4000/50000] loss:1.325(gmm:1.325+l2:0.000) bestLoss:1.325
[5000/50000] loss:1.329(gmm:1.329+l2:0.000) bestLoss:1.302
[6000/50000] loss:1.296(gmm:1.296+l2:0.000) bestLoss:1.296
[7000/50000] loss:1.293(gmm:1.293+l2:0.000) bestLoss:1.293
[8000/50000] loss:1.339(gmm:1.339+l2:0.000) bestLoss:1.293
[9000/50000] loss:1.275(gmm:1.275+l2:0.000) bestLoss:1.272
[10000/50000] loss:1.278(gmm:1.278+l2:0.000) bestLoss:1.272
[11000/50000] loss:1.268(gmm:1.268+l2:0.000) bestLoss:1.268
[12000/50000] loss:1.253(gmm:1.253+l2:0.000) bestLoss:1.253
[13000/50000] loss:1.265(gmm:1.265+l2:0.000) bestLoss:1.253
[14000/50000] loss:1.273(gmm:1.273+l2:0.000) bestLoss:1.253
[15000/50000] loss:1.241(gmm:1.241+l2:0.000) bestLoss:1.241
[16000/50000] loss:1.245(gmm:1.245+l2:0.000) bestLoss:1.241
[17000/50000] loss:1.241(gmm:1.241+l2:0.000) bestLoss:1.241
[18000/50000] loss:1.366(gmm:1.366+l2:0.000) bestLoss:1.240
[19000/50000] loss:1.233(gmm:1.233+l2:0.000) bestLoss:1.233
[20000/50000] loss:1.273(gmm:1.273+l2:0.000) bestLoss:1.227
[21000/50000] loss:1.240(gmm:1.240+l2:0.000) bestLoss:1.227
[22000/50000] loss:1.233(gmm:1.233+l2:0.000) bestLoss:1.227
[23000/50000] loss:1.259(gmm:1.259+l2:0.000) bestLoss:1.227
[24000/50000] loss:1.231(gmm:1.231+l2:0.000) bestLoss:1.227
[25000/50000] loss:1.226(gmm:1.225+l2:0.000) bestLoss:1.226
[26000/50000] loss:1.234(gmm:1.234+l2:0.000) bestLoss:1.226
[27000/50000] loss:1.222(gmm:1.222+l2:0.000) bestLoss:1.222
[28000/50000] loss:1.232(gmm:1.232+l2:0.000) bestLoss:1.222
[29000/50000] loss:1.218(gmm:1.218+l2:0.000) bestLoss:1.218
[30000/50000] loss:1.234(gmm:1.234+l2:0.000) bestLoss:1.218
[31000/50000] loss:1.224(gmm:1.224+l2:0.000) bestLoss:1.218
[32000/50000] loss:1.235(gmm:1.235+l2:0.000) bestLoss:1.218
[33000/50000] loss:1.224(gmm:1.224+l2:0.000) bestLoss:1.205
[34000/50000] loss:1.231(gmm:1.231+l2:0.000) bestLoss:1.205
[35000/50000] loss:1.228(gmm:1.228+l2:0.000) bestLoss:1.205
[36000/50000] loss:1.230(gmm:1.230+l2:0.000) bestLoss:1.205
[37000/50000] loss:1.228(gmm:1.228+l2:0.000) bestLoss:1.205
[38000/50000] loss:1.208(gmm:1.208+l2:0.000) bestLoss:1.205
[39000/50000] loss:1.207(gmm:1.207+l2:0.000) bestLoss:1.205
[40000/50000] loss:1.197(gmm:1.197+l2:0.000) bestLoss:1.197
[41000/50000] loss:1.232(gmm:1.232+l2:0.000) bestLoss:1.197
[42000/50000] loss:1.214(gmm:1.213+l2:0.000) bestLoss:1.197
[43000/50000] loss:1.195(gmm:1.195+l2:0.000) bestLoss:1.195
[44000/50000] loss:1.432(gmm:1.432+l2:0.000) bestLoss:1.195
[45000/50000] loss:1.216(gmm:1.216+l2:0.000) bestLoss:1.195
[46000/50000] loss:1.211(gmm:1.211+l2:0.000) bestLoss:1.195
[47000/50000] loss:1.200(gmm:1.200+l2:0.000) bestLoss:1.195
[48000/50000] loss:1.252(gmm:1.252+l2:0.000) bestLoss:1.195
[49000/50000] loss:1.220(gmm:1.220+l2:0.000) bestLoss:1.195
[49999/50000] loss:1.235(gmm:1.235+l2:0.000) bestLoss:1.195
[50000/50000] loss:1.227(gmm:1.227+l2:0.000) bestLoss:1.195
