Text name: ../res/res_MDN_step_oRate50_var1.0e-06.txt
[0/20000] loss:3.341(gmm:3.341+l2:0.001) bestLoss:inf
[400/20000] loss:1.506(gmm:1.506+l2:0.001) bestLoss:1.506
[800/20000] loss:1.476(gmm:1.476+l2:0.001) bestLoss:1.476
[1200/20000] loss:1.465(gmm:1.464+l2:0.001) bestLoss:1.465
[1600/20000] loss:1.450(gmm:1.449+l2:0.001) bestLoss:1.450
[2000/20000] loss:1.461(gmm:1.461+l2:0.001) bestLoss:1.450
[2400/20000] loss:1.568(gmm:1.567+l2:0.001) bestLoss:1.432
[2800/20000] loss:1.435(gmm:1.434+l2:0.001) bestLoss:1.431
[3200/20000] loss:1.434(gmm:1.433+l2:0.001) bestLoss:1.431
[3600/20000] loss:1.519(gmm:1.519+l2:0.001) bestLoss:1.431
[4000/20000] loss:1.437(gmm:1.436+l2:0.001) bestLoss:1.426
[4400/20000] loss:1.413(gmm:1.412+l2:0.001) bestLoss:1.413
[4800/20000] loss:1.438(gmm:1.437+l2:0.001) bestLoss:1.413
[5200/20000] loss:1.421(gmm:1.420+l2:0.001) bestLoss:1.413
[5600/20000] loss:1.411(gmm:1.410+l2:0.001) bestLoss:1.411
[6000/20000] loss:1.418(gmm:1.417+l2:0.001) bestLoss:1.411
[6400/20000] loss:1.456(gmm:1.456+l2:0.001) bestLoss:1.406
[6800/20000] loss:1.411(gmm:1.410+l2:0.001) bestLoss:1.406
[7200/20000] loss:1.402(gmm:1.401+l2:0.001) bestLoss:1.402
[7600/20000] loss:1.399(gmm:1.398+l2:0.001) bestLoss:1.399
[8000/20000] loss:1.401(gmm:1.400+l2:0.001) bestLoss:1.399
[8400/20000] loss:1.389(gmm:1.388+l2:0.001) bestLoss:1.389
[8800/20000] loss:1.402(gmm:1.401+l2:0.001) bestLoss:1.389
[9200/20000] loss:1.397(gmm:1.396+l2:0.001) bestLoss:1.389
[9600/20000] loss:1.407(gmm:1.406+l2:0.001) bestLoss:1.389
[10000/20000] loss:1.388(gmm:1.387+l2:0.001) bestLoss:1.388
[10400/20000] loss:1.369(gmm:1.368+l2:0.001) bestLoss:1.369
[10800/20000] loss:1.366(gmm:1.365+l2:0.001) bestLoss:1.366
[11200/20000] loss:1.367(gmm:1.366+l2:0.001) bestLoss:1.366
[11600/20000] loss:1.367(gmm:1.366+l2:0.001) bestLoss:1.366
[12000/20000] loss:1.364(gmm:1.363+l2:0.001) bestLoss:1.364
[12400/20000] loss:1.365(gmm:1.364+l2:0.001) bestLoss:1.364
[12800/20000] loss:1.366(gmm:1.365+l2:0.001) bestLoss:1.364
[13200/20000] loss:1.365(gmm:1.364+l2:0.001) bestLoss:1.364
[13600/20000] loss:1.365(gmm:1.364+l2:0.001) bestLoss:1.364
[14000/20000] loss:1.368(gmm:1.367+l2:0.001) bestLoss:1.364
[14400/20000] loss:1.365(gmm:1.364+l2:0.001) bestLoss:1.363
[14800/20000] loss:1.362(gmm:1.361+l2:0.001) bestLoss:1.362
[15200/20000] loss:1.359(gmm:1.358+l2:0.001) bestLoss:1.359
[15600/20000] loss:1.359(gmm:1.358+l2:0.001) bestLoss:1.359
[16000/20000] loss:1.357(gmm:1.356+l2:0.001) bestLoss:1.357
[16400/20000] loss:1.357(gmm:1.356+l2:0.001) bestLoss:1.357
[16800/20000] loss:1.358(gmm:1.357+l2:0.001) bestLoss:1.357
[17200/20000] loss:1.360(gmm:1.359+l2:0.001) bestLoss:1.357
[17600/20000] loss:1.357(gmm:1.356+l2:0.001) bestLoss:1.357
[18000/20000] loss:1.358(gmm:1.357+l2:0.001) bestLoss:1.357
[18400/20000] loss:1.360(gmm:1.359+l2:0.001) bestLoss:1.357
[18800/20000] loss:1.360(gmm:1.359+l2:0.001) bestLoss:1.357
[19200/20000] loss:1.356(gmm:1.355+l2:0.001) bestLoss:1.355
[19600/20000] loss:1.358(gmm:1.357+l2:0.001) bestLoss:1.355
[19999/20000] loss:1.355(gmm:1.354+l2:0.001) bestLoss:1.355
[20000/20000] loss:1.356(gmm:1.355+l2:0.001) bestLoss:1.355
