Text name: ../res/res_CN_cosexp_oRate60_var1.0e-02_tau_inv1.txt
[0/30000] loss:0.684(gmm:0.684+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[600/30000] loss:0.617(gmm:0.617+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[1200/30000] loss:0.620(gmm:0.620+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[1800/30000] loss:0.600(gmm:0.600+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[2400/30000] loss:0.584(gmm:0.584+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[3000/30000] loss:0.578(gmm:0.577+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[3600/30000] loss:0.567(gmm:0.567+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[4200/30000] loss:0.583(gmm:0.582+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[4800/30000] loss:0.565(gmm:0.564+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[5400/30000] loss:0.578(gmm:0.578+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[6000/30000] loss:0.555(gmm:0.555+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[6600/30000] loss:0.559(gmm:0.559+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[7200/30000] loss:0.565(gmm:0.565+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[7800/30000] loss:0.560(gmm:0.560+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[8400/30000] loss:0.564(gmm:0.564+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[9000/30000] loss:0.582(gmm:0.581+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[9600/30000] loss:0.564(gmm:0.564+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[10200/30000] loss:0.558(gmm:0.558+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[10800/30000] loss:0.563(gmm:0.563+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[11400/30000] loss:0.566(gmm:0.566+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[12000/30000] loss:0.552(gmm:0.551+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[12600/30000] loss:0.558(gmm:0.558+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[13200/30000] loss:0.550(gmm:0.550+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[13800/30000] loss:0.555(gmm:0.554+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[14400/30000] loss:0.555(gmm:0.555+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[15000/30000] loss:0.545(gmm:0.545+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.553
[15600/30000] loss:0.538(gmm:0.538+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.539
[16200/30000] loss:0.547(gmm:0.547+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.539
[16800/30000] loss:0.534(gmm:0.534+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.537
[17400/30000] loss:0.546(gmm:0.546+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.537
[18000/30000] loss:0.537(gmm:0.537+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.537
[18600/30000] loss:0.536(gmm:0.535+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.537
[19200/30000] loss:0.538(gmm:0.538+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.537
[19800/30000] loss:0.537(gmm:0.537+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.537
[20400/30000] loss:0.539(gmm:0.539+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.537
[21000/30000] loss:0.540(gmm:0.540+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.537
[21600/30000] loss:0.534(gmm:0.534+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.533
[22200/30000] loss:0.537(gmm:0.537+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.533
[22800/30000] loss:0.530(gmm:0.530+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.533
[23400/30000] loss:0.536(gmm:0.536+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.531
[24000/30000] loss:0.534(gmm:0.534+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.531
[24600/30000] loss:0.537(gmm:0.536+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.531
[25200/30000] loss:0.541(gmm:0.541+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.531
[25800/30000] loss:0.539(gmm:0.539+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.531
[26400/30000] loss:0.540(gmm:0.540+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.531
[27000/30000] loss:0.538(gmm:0.538+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.530
[27600/30000] loss:0.534(gmm:0.534+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.530
[28200/30000] loss:0.531(gmm:0.531+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.530
[28800/30000] loss:0.532(gmm:0.532+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.530
[29400/30000] loss:0.533(gmm:0.533+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.530
[29999/30000] loss:0.537(gmm:0.536+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.530
[30000/30000] loss:0.535(gmm:0.535+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.530
