Text name: ../res/res_CN_step_oRate10_var1.0e-06.txt
[0/20000] loss:1.019(gmm:1.016+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[400/20000] loss:-0.004(gmm:-0.007+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[800/20000] loss:-0.290(gmm:-0.293+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[1200/20000] loss:-0.351(gmm:-0.355+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[1600/20000] loss:-0.569(gmm:-0.573+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[2000/20000] loss:-0.840(gmm:-0.844+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[2400/20000] loss:-0.690(gmm:-0.694+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[2800/20000] loss:-0.736(gmm:-0.740+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[3200/20000] loss:-0.763(gmm:-0.767+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[3600/20000] loss:-0.808(gmm:-0.812+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[4000/20000] loss:-0.768(gmm:-0.772+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[4400/20000] loss:-0.895(gmm:-0.899+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[4800/20000] loss:-0.773(gmm:-0.777+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[5200/20000] loss:-0.863(gmm:-0.867+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[5600/20000] loss:-0.632(gmm:-0.636+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[6000/20000] loss:-0.777(gmm:-0.782+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[6400/20000] loss:-0.833(gmm:-0.837+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[6800/20000] loss:-0.949(gmm:-0.954+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[7200/20000] loss:-0.892(gmm:-0.896+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[7600/20000] loss:-0.898(gmm:-0.902+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[8000/20000] loss:-0.861(gmm:-0.865+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[8400/20000] loss:-0.730(gmm:-0.734+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[8800/20000] loss:-0.896(gmm:-0.900+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
