Text name: ../res/res_CN_step_oRate60_var1.0e-06.txt
[0/20000] loss:1.139(gmm:1.136+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[400/20000] loss:0.747(gmm:0.743+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[800/20000] loss:0.698(gmm:0.695+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[1200/20000] loss:0.736(gmm:0.733+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[1600/20000] loss:0.600(gmm:0.597+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[2000/20000] loss:0.645(gmm:0.642+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[2400/20000] loss:0.567(gmm:0.563+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[2800/20000] loss:0.569(gmm:0.566+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[3200/20000] loss:0.603(gmm:0.599+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[3600/20000] loss:0.575(gmm:0.572+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[4000/20000] loss:0.558(gmm:0.554+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[4400/20000] loss:0.577(gmm:0.574+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[4800/20000] loss:0.492(gmm:0.489+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[5200/20000] loss:0.486(gmm:0.483+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[5600/20000] loss:0.564(gmm:0.561+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[6000/20000] loss:0.499(gmm:0.496+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[6400/20000] loss:0.490(gmm:0.487+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[6800/20000] loss:0.511(gmm:0.508+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[7200/20000] loss:0.506(gmm:0.502+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[7600/20000] loss:0.451(gmm:0.447+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[8000/20000] loss:0.513(gmm:0.510+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[8400/20000] loss:0.512(gmm:0.508+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[8800/20000] loss:0.455(gmm:0.451+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[9200/20000] loss:0.497(gmm:0.493+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[9600/20000] loss:0.462(gmm:0.459+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[10000/20000] loss:0.452(gmm:0.448+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.438
[10400/20000] loss:0.434(gmm:0.430+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.432
[10800/20000] loss:0.426(gmm:0.423+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.407
[11200/20000] loss:0.419(gmm:0.415+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.371
[11600/20000] loss:0.440(gmm:0.436+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.371
[12000/20000] loss:0.426(gmm:0.422+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.371
[12400/20000] loss:0.385(gmm:0.381+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.371
[12800/20000] loss:0.397(gmm:0.394+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.371
[13200/20000] loss:0.406(gmm:0.403+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.371
[13600/20000] loss:0.401(gmm:0.397+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.371
[14000/20000] loss:0.416(gmm:0.413+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.371
[14400/20000] loss:0.397(gmm:0.393+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.371
[14800/20000] loss:0.392(gmm:0.389+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.371
[15200/20000] loss:0.401(gmm:0.398+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.371
[15600/20000] loss:0.413(gmm:0.409+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.371
[16000/20000] loss:0.410(gmm:0.406+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.371
[16400/20000] loss:0.390(gmm:0.386+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.367
[16800/20000] loss:0.413(gmm:0.410+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.367
[17200/20000] loss:0.438(gmm:0.435+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.367
[17600/20000] loss:0.375(gmm:0.371+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.367
[18000/20000] loss:0.395(gmm:0.391+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.367
[18400/20000] loss:0.376(gmm:0.372+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.367
[18800/20000] loss:0.364(gmm:0.361+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.367
[19200/20000] loss:0.401(gmm:0.397+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.367
[19600/20000] loss:0.398(gmm:0.394+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.367
[19999/20000] loss:0.384(gmm:0.380+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.367
[20000/20000] loss:0.387(gmm:0.383+kl:0.000+l2:0.003+fit:0.000) bestLoss:0.367
