Text name: ../res/res_MDN_step_oRate60_var1.0e-06.txt
[0/20000] loss:3.728(gmm:3.728+l2:0.000) bestLoss:inf
[400/20000] loss:1.588(gmm:1.588+l2:0.000) bestLoss:1.588
[800/20000] loss:1.561(gmm:1.560+l2:0.000) bestLoss:1.561
[1200/20000] loss:1.606(gmm:1.606+l2:0.000) bestLoss:1.539
[1600/20000] loss:1.514(gmm:1.513+l2:0.000) bestLoss:1.514
[2000/20000] loss:1.502(gmm:1.501+l2:0.000) bestLoss:1.502
[2400/20000] loss:1.506(gmm:1.506+l2:0.000) bestLoss:1.502
[2800/20000] loss:1.492(gmm:1.492+l2:0.000) bestLoss:1.492
[3200/20000] loss:1.499(gmm:1.498+l2:0.000) bestLoss:1.492
[3600/20000] loss:1.481(gmm:1.481+l2:0.001) bestLoss:1.481
[4000/20000] loss:1.478(gmm:1.477+l2:0.001) bestLoss:1.478
[4400/20000] loss:1.471(gmm:1.471+l2:0.001) bestLoss:1.471
[4800/20000] loss:1.472(gmm:1.471+l2:0.001) bestLoss:1.471
[5200/20000] loss:1.482(gmm:1.481+l2:0.001) bestLoss:1.471
[5600/20000] loss:1.476(gmm:1.476+l2:0.001) bestLoss:1.467
[6000/20000] loss:1.468(gmm:1.467+l2:0.001) bestLoss:1.463
[6400/20000] loss:1.470(gmm:1.469+l2:0.001) bestLoss:1.460
[6800/20000] loss:1.480(gmm:1.479+l2:0.001) bestLoss:1.460
[7200/20000] loss:1.457(gmm:1.456+l2:0.001) bestLoss:1.457
[7600/20000] loss:1.466(gmm:1.466+l2:0.001) bestLoss:1.457
[8000/20000] loss:1.484(gmm:1.484+l2:0.001) bestLoss:1.457
[8400/20000] loss:1.455(gmm:1.455+l2:0.001) bestLoss:1.455
[8800/20000] loss:1.448(gmm:1.448+l2:0.001) bestLoss:1.448
[9200/20000] loss:1.448(gmm:1.447+l2:0.001) bestLoss:1.448
[9600/20000] loss:1.458(gmm:1.457+l2:0.001) bestLoss:1.448
[10000/20000] loss:1.453(gmm:1.452+l2:0.001) bestLoss:1.448
[10400/20000] loss:1.432(gmm:1.432+l2:0.001) bestLoss:1.432
[10800/20000] loss:1.430(gmm:1.430+l2:0.001) bestLoss:1.429
[11200/20000] loss:1.427(gmm:1.426+l2:0.001) bestLoss:1.427
[11600/20000] loss:1.427(gmm:1.427+l2:0.001) bestLoss:1.427
[12000/20000] loss:1.428(gmm:1.427+l2:0.001) bestLoss:1.427
[12400/20000] loss:1.427(gmm:1.426+l2:0.001) bestLoss:1.427
[12800/20000] loss:1.426(gmm:1.425+l2:0.001) bestLoss:1.426
[13200/20000] loss:1.426(gmm:1.425+l2:0.001) bestLoss:1.426
[13600/20000] loss:1.428(gmm:1.427+l2:0.001) bestLoss:1.426
[14000/20000] loss:1.426(gmm:1.426+l2:0.001) bestLoss:1.426
[14400/20000] loss:1.425(gmm:1.424+l2:0.001) bestLoss:1.425
[14800/20000] loss:1.425(gmm:1.424+l2:0.001) bestLoss:1.425
[15200/20000] loss:1.421(gmm:1.420+l2:0.001) bestLoss:1.421
[15600/20000] loss:1.421(gmm:1.421+l2:0.001) bestLoss:1.420
[16000/20000] loss:1.418(gmm:1.417+l2:0.001) bestLoss:1.418
[16400/20000] loss:1.420(gmm:1.419+l2:0.001) bestLoss:1.418
[16800/20000] loss:1.422(gmm:1.421+l2:0.001) bestLoss:1.418
[17200/20000] loss:1.421(gmm:1.420+l2:0.001) bestLoss:1.418
[17600/20000] loss:1.418(gmm:1.417+l2:0.001) bestLoss:1.418
[18000/20000] loss:1.420(gmm:1.419+l2:0.001) bestLoss:1.418
[18400/20000] loss:1.418(gmm:1.417+l2:0.001) bestLoss:1.418
[18800/20000] loss:1.420(gmm:1.419+l2:0.001) bestLoss:1.418
[19200/20000] loss:1.419(gmm:1.418+l2:0.001) bestLoss:1.417
[19600/20000] loss:1.420(gmm:1.419+l2:0.001) bestLoss:1.417
[19999/20000] loss:1.418(gmm:1.417+l2:0.001) bestLoss:1.417
[20000/20000] loss:1.417(gmm:1.416+l2:0.001) bestLoss:1.417
