Text name: ../res/res_MLP_cosexp_oRate70_var1.0e-06.txt
[0/20000] loss:1.515(fit:1.515+l2:0.000) bestLoss:inf
[400/20000] loss:1.335(fit:1.335+l2:0.000) bestLoss:1.335
[800/20000] loss:1.292(fit:1.292+l2:0.000) bestLoss:1.292
[1200/20000] loss:1.276(fit:1.276+l2:0.000) bestLoss:1.276
[1600/20000] loss:1.271(fit:1.271+l2:0.000) bestLoss:1.271
[2000/20000] loss:1.267(fit:1.267+l2:0.000) bestLoss:1.267
[2400/20000] loss:1.266(fit:1.266+l2:0.000) bestLoss:1.266
[2800/20000] loss:1.264(fit:1.264+l2:0.000) bestLoss:1.264
[3200/20000] loss:1.262(fit:1.262+l2:0.000) bestLoss:1.262
[3600/20000] loss:1.262(fit:1.262+l2:0.000) bestLoss:1.262
[4000/20000] loss:1.262(fit:1.262+l2:0.000) bestLoss:1.262
[4400/20000] loss:1.262(fit:1.262+l2:0.000) bestLoss:1.262
[4800/20000] loss:1.262(fit:1.262+l2:0.000) bestLoss:1.262
[5200/20000] loss:1.262(fit:1.262+l2:0.000) bestLoss:1.261
[5600/20000] loss:1.261(fit:1.261+l2:0.000) bestLoss:1.261
[6000/20000] loss:1.261(fit:1.261+l2:0.000) bestLoss:1.261
[6400/20000] loss:1.261(fit:1.261+l2:0.000) bestLoss:1.261
[6800/20000] loss:1.262(fit:1.262+l2:0.000) bestLoss:1.261
[7200/20000] loss:1.260(fit:1.260+l2:0.000) bestLoss:1.260
[7600/20000] loss:1.261(fit:1.261+l2:0.000) bestLoss:1.260
[8000/20000] loss:1.260(fit:1.260+l2:0.000) bestLoss:1.260
[8400/20000] loss:1.260(fit:1.260+l2:0.000) bestLoss:1.259
[8800/20000] loss:1.260(fit:1.260+l2:0.000) bestLoss:1.259
[9200/20000] loss:1.260(fit:1.260+l2:0.000) bestLoss:1.259
[9600/20000] loss:1.259(fit:1.259+l2:0.000) bestLoss:1.259
[10000/20000] loss:1.257(fit:1.257+l2:0.000) bestLoss:1.257
[10400/20000] loss:1.257(fit:1.257+l2:0.000) bestLoss:1.257
[10800/20000] loss:1.257(fit:1.257+l2:0.000) bestLoss:1.257
[11200/20000] loss:1.257(fit:1.257+l2:0.000) bestLoss:1.257
[11600/20000] loss:1.257(fit:1.257+l2:0.000) bestLoss:1.257
[12000/20000] loss:1.257(fit:1.257+l2:0.000) bestLoss:1.257
[12400/20000] loss:1.257(fit:1.257+l2:0.000) bestLoss:1.257
[12800/20000] loss:1.257(fit:1.257+l2:0.000) bestLoss:1.257
[13200/20000] loss:1.257(fit:1.257+l2:0.000) bestLoss:1.257
[13600/20000] loss:1.256(fit:1.256+l2:0.000) bestLoss:1.256
[14000/20000] loss:1.256(fit:1.256+l2:0.000) bestLoss:1.256
[14400/20000] loss:1.256(fit:1.256+l2:0.000) bestLoss:1.256
[14800/20000] loss:1.256(fit:1.256+l2:0.000) bestLoss:1.256
[15200/20000] loss:1.256(fit:1.256+l2:0.000) bestLoss:1.256
[15600/20000] loss:1.256(fit:1.256+l2:0.000) bestLoss:1.256
[16000/20000] loss:1.256(fit:1.256+l2:0.000) bestLoss:1.256
[16400/20000] loss:1.256(fit:1.256+l2:0.000) bestLoss:1.256
[16800/20000] loss:1.256(fit:1.256+l2:0.000) bestLoss:1.256
[17200/20000] loss:1.256(fit:1.256+l2:0.000) bestLoss:1.256
[17600/20000] loss:1.256(fit:1.256+l2:0.000) bestLoss:1.256
[18000/20000] loss:1.256(fit:1.256+l2:0.000) bestLoss:1.256
[18400/20000] loss:1.256(fit:1.256+l2:0.000) bestLoss:1.256
[18800/20000] loss:1.256(fit:1.256+l2:0.000) bestLoss:1.256
[19200/20000] loss:1.256(fit:1.256+l2:0.000) bestLoss:1.256
[19600/20000] loss:1.256(fit:1.256+l2:0.000) bestLoss:1.256
[19999/20000] loss:1.256(fit:1.256+l2:0.000) bestLoss:1.256
[20000/20000] loss:1.256(fit:1.256+l2:0.000) bestLoss:1.256
