Text name: ../res/res_CN_cosexp_oRate50_var1.0e-06.txt
[0/10000] loss:0.882(gmm:0.879+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[200/10000] loss:0.654(gmm:0.651+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[400/10000] loss:0.536(gmm:0.533+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[600/10000] loss:0.505(gmm:0.501+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[800/10000] loss:0.509(gmm:0.506+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[1000/10000] loss:0.521(gmm:0.518+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[1200/10000] loss:0.523(gmm:0.520+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[1400/10000] loss:0.461(gmm:0.458+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[1600/10000] loss:0.488(gmm:0.485+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[1800/10000] loss:0.438(gmm:0.434+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[2000/10000] loss:0.445(gmm:0.442+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[2200/10000] loss:0.484(gmm:0.480+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[2400/10000] loss:0.525(gmm:0.522+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[2600/10000] loss:0.445(gmm:0.441+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[2800/10000] loss:0.439(gmm:0.435+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[3000/10000] loss:0.455(gmm:0.452+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[3200/10000] loss:0.437(gmm:0.433+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[3400/10000] loss:0.419(gmm:0.416+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[3600/10000] loss:0.402(gmm:0.398+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[3800/10000] loss:0.390(gmm:0.387+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[4000/10000] loss:0.368(gmm:0.364+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[4200/10000] loss:0.314(gmm:0.311+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[4400/10000] loss:0.306(gmm:0.302+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[4600/10000] loss:0.104(gmm:0.101+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[4800/10000] loss:0.130(gmm:0.126+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[5000/10000] loss:0.029(gmm:0.026+kl:0.000+l2:0.004+fit:0.000) bestLoss:0.031
[5200/10000] loss:-0.010(gmm:-0.014+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.022
[5400/10000] loss:-0.036(gmm:-0.040+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.031
[5600/10000] loss:-0.043(gmm:-0.047+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.055
[5800/10000] loss:-0.029(gmm:-0.033+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.055
[6000/10000] loss:-0.058(gmm:-0.062+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.070
[6200/10000] loss:-0.060(gmm:-0.064+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.070
[6400/10000] loss:-0.059(gmm:-0.063+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.070
[6600/10000] loss:-0.045(gmm:-0.049+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.076
[6800/10000] loss:-0.049(gmm:-0.052+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.076
[7000/10000] loss:-0.097(gmm:-0.101+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.128
[7200/10000] loss:-0.082(gmm:-0.086+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.128
[7400/10000] loss:-0.064(gmm:-0.067+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.128
[7600/10000] loss:-0.113(gmm:-0.117+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.128
[7800/10000] loss:-0.127(gmm:-0.131+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.128
[8000/10000] loss:-0.120(gmm:-0.124+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.128
[8200/10000] loss:-0.119(gmm:-0.123+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.128
[8400/10000] loss:-0.106(gmm:-0.110+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.128
[8600/10000] loss:-0.106(gmm:-0.110+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.138
[8800/10000] loss:-0.109(gmm:-0.113+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.138
[9000/10000] loss:-0.103(gmm:-0.107+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.138
[9200/10000] loss:-0.132(gmm:-0.136+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.139
[9400/10000] loss:-0.112(gmm:-0.116+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.139
[9600/10000] loss:-0.113(gmm:-0.117+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.139
[9800/10000] loss:-0.132(gmm:-0.136+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.139
[9999/10000] loss:-0.131(gmm:-0.135+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.139
[10000/10000] loss:-0.119(gmm:-0.123+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.139
