Text name: ../res/res_MDN_linear_oRate10_var1.0e-06.txt
[0/30000] loss:3.073(gmm:3.071+l2:0.002) bestLoss:inf
[600/30000] loss:0.809(gmm:0.807+l2:0.002) bestLoss:0.809
[1200/30000] loss:0.816(gmm:0.813+l2:0.002) bestLoss:0.798
[1800/30000] loss:0.790(gmm:0.788+l2:0.002) bestLoss:0.790
[2400/30000] loss:0.792(gmm:0.790+l2:0.002) bestLoss:0.784
[3000/30000] loss:0.791(gmm:0.789+l2:0.002) bestLoss:0.780
[3600/30000] loss:0.780(gmm:0.777+l2:0.002) bestLoss:0.780
[4200/30000] loss:0.772(gmm:0.770+l2:0.002) bestLoss:0.772
[4800/30000] loss:0.777(gmm:0.775+l2:0.002) bestLoss:0.772
[5400/30000] loss:0.774(gmm:0.771+l2:0.002) bestLoss:0.770
[6000/30000] loss:0.766(gmm:0.764+l2:0.002) bestLoss:0.766
[6600/30000] loss:0.771(gmm:0.768+l2:0.002) bestLoss:0.766
[7200/30000] loss:0.773(gmm:0.771+l2:0.002) bestLoss:0.765
[7800/30000] loss:0.762(gmm:0.760+l2:0.002) bestLoss:0.762
[8400/30000] loss:0.763(gmm:0.761+l2:0.002) bestLoss:0.762
[9000/30000] loss:0.766(gmm:0.764+l2:0.002) bestLoss:0.762
[9600/30000] loss:0.761(gmm:0.759+l2:0.002) bestLoss:0.759
[10200/30000] loss:0.762(gmm:0.760+l2:0.002) bestLoss:0.759
[10800/30000] loss:0.760(gmm:0.758+l2:0.002) bestLoss:0.759
[11400/30000] loss:0.760(gmm:0.758+l2:0.002) bestLoss:0.759
[12000/30000] loss:0.757(gmm:0.755+l2:0.002) bestLoss:0.757
[12600/30000] loss:0.754(gmm:0.752+l2:0.002) bestLoss:0.754
[13200/30000] loss:0.755(gmm:0.752+l2:0.002) bestLoss:0.754
[13800/30000] loss:0.752(gmm:0.750+l2:0.002) bestLoss:0.752
[14400/30000] loss:0.755(gmm:0.753+l2:0.002) bestLoss:0.752
[15000/30000] loss:0.752(gmm:0.750+l2:0.002) bestLoss:0.752
[15600/30000] loss:0.745(gmm:0.743+l2:0.002) bestLoss:0.745
[16200/30000] loss:0.745(gmm:0.742+l2:0.002) bestLoss:0.744
[16800/30000] loss:0.744(gmm:0.741+l2:0.002) bestLoss:0.744
[17400/30000] loss:0.746(gmm:0.743+l2:0.002) bestLoss:0.744
[18000/30000] loss:0.744(gmm:0.742+l2:0.002) bestLoss:0.743
[18600/30000] loss:0.743(gmm:0.740+l2:0.002) bestLoss:0.743
[19200/30000] loss:0.743(gmm:0.741+l2:0.002) bestLoss:0.741
[19800/30000] loss:0.743(gmm:0.740+l2:0.002) bestLoss:0.741
[20400/30000] loss:0.743(gmm:0.740+l2:0.002) bestLoss:0.741
[21000/30000] loss:0.741(gmm:0.738+l2:0.002) bestLoss:0.741
[21600/30000] loss:0.740(gmm:0.738+l2:0.002) bestLoss:0.740
[22200/30000] loss:0.742(gmm:0.740+l2:0.002) bestLoss:0.740
[22800/30000] loss:0.739(gmm:0.737+l2:0.002) bestLoss:0.739
[23400/30000] loss:0.738(gmm:0.736+l2:0.002) bestLoss:0.738
[24000/30000] loss:0.740(gmm:0.737+l2:0.002) bestLoss:0.738
[24600/30000] loss:0.738(gmm:0.736+l2:0.002) bestLoss:0.738
[25200/30000] loss:0.738(gmm:0.736+l2:0.002) bestLoss:0.738
[25800/30000] loss:0.737(gmm:0.735+l2:0.002) bestLoss:0.737
[26400/30000] loss:0.738(gmm:0.736+l2:0.002) bestLoss:0.737
[27000/30000] loss:0.739(gmm:0.736+l2:0.002) bestLoss:0.737
[27600/30000] loss:0.737(gmm:0.735+l2:0.002) bestLoss:0.737
[28200/30000] loss:0.738(gmm:0.736+l2:0.002) bestLoss:0.737
[28800/30000] loss:0.737(gmm:0.735+l2:0.002) bestLoss:0.737
[29400/30000] loss:0.738(gmm:0.736+l2:0.002) bestLoss:0.737
[29999/30000] loss:0.738(gmm:0.735+l2:0.002) bestLoss:0.737
[30000/30000] loss:0.736(gmm:0.734+l2:0.002) bestLoss:0.736
