Text name: ../res/res_CN_cosexp_oRate60_var1.0e-02_tau_inv1e-06.txt
[0/30000] loss:0.847(gmm:0.847+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[600/30000] loss:0.452(gmm:0.452+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[1200/30000] loss:0.429(gmm:0.429+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[1800/30000] loss:0.366(gmm:0.366+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[2400/30000] loss:0.370(gmm:0.370+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[3000/30000] loss:0.334(gmm:0.333+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[3600/30000] loss:0.317(gmm:0.317+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[4200/30000] loss:0.295(gmm:0.295+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[4800/30000] loss:0.363(gmm:0.363+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[5400/30000] loss:0.296(gmm:0.296+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[6000/30000] loss:0.307(gmm:0.307+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[6600/30000] loss:0.317(gmm:0.317+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[7200/30000] loss:0.310(gmm:0.310+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[7800/30000] loss:0.351(gmm:0.351+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[8400/30000] loss:0.250(gmm:0.250+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[9000/30000] loss:0.328(gmm:0.328+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[9600/30000] loss:0.292(gmm:0.291+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[10200/30000] loss:0.312(gmm:0.312+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[10800/30000] loss:0.260(gmm:0.260+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[11400/30000] loss:0.289(gmm:0.289+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[12000/30000] loss:0.277(gmm:0.277+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[12600/30000] loss:0.260(gmm:0.260+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[13200/30000] loss:0.269(gmm:0.269+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[13800/30000] loss:0.306(gmm:0.306+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[14400/30000] loss:0.313(gmm:0.313+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[15000/30000] loss:0.257(gmm:0.257+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.251
[15600/30000] loss:0.240(gmm:0.240+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.241
[16200/30000] loss:0.253(gmm:0.253+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.233
[16800/30000] loss:0.241(gmm:0.241+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.233
[17400/30000] loss:0.270(gmm:0.270+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.233
[18000/30000] loss:0.252(gmm:0.252+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.233
[18600/30000] loss:0.252(gmm:0.252+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.230
[19200/30000] loss:0.252(gmm:0.251+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.230
[19800/30000] loss:0.230(gmm:0.230+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.230
[20400/30000] loss:0.275(gmm:0.275+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.230
[21000/30000] loss:0.241(gmm:0.240+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.230
[21600/30000] loss:0.268(gmm:0.268+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.230
[22200/30000] loss:0.251(gmm:0.251+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.230
[22800/30000] loss:0.240(gmm:0.240+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.230
[23400/30000] loss:0.255(gmm:0.255+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.230
[24000/30000] loss:0.245(gmm:0.245+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.230
[24600/30000] loss:0.245(gmm:0.245+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.230
[25200/30000] loss:0.273(gmm:0.273+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.230
[25800/30000] loss:0.262(gmm:0.262+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.230
[26400/30000] loss:0.261(gmm:0.261+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.228
[27000/30000] loss:0.251(gmm:0.251+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.228
[27600/30000] loss:0.288(gmm:0.288+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.228
[28200/30000] loss:0.281(gmm:0.281+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.228
[28800/30000] loss:0.258(gmm:0.258+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.228
[29400/30000] loss:0.238(gmm:0.238+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.228
[29999/30000] loss:0.251(gmm:0.251+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.228
[30000/30000] loss:0.260(gmm:0.259+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.228
