Text name: ../res/res_MDN_cosexp_oRate0_var1.0e-06.txt
[0/30000] loss:1.445(gmm:1.442+l2:0.003) bestLoss:inf
[600/30000] loss:0.630(gmm:0.626+l2:0.004) bestLoss:0.630
[1200/30000] loss:0.613(gmm:0.609+l2:0.004) bestLoss:0.613
[1800/30000] loss:0.608(gmm:0.604+l2:0.004) bestLoss:0.607
[2400/30000] loss:0.599(gmm:0.595+l2:0.004) bestLoss:0.599
[3000/30000] loss:0.596(gmm:0.592+l2:0.004) bestLoss:0.595
[3600/30000] loss:0.598(gmm:0.595+l2:0.004) bestLoss:0.595
[4200/30000] loss:0.592(gmm:0.589+l2:0.004) bestLoss:0.592
[4800/30000] loss:0.591(gmm:0.587+l2:0.004) bestLoss:0.590
[5400/30000] loss:0.591(gmm:0.587+l2:0.004) bestLoss:0.590
[6000/30000] loss:0.590(gmm:0.586+l2:0.004) bestLoss:0.589
[6600/30000] loss:0.588(gmm:0.584+l2:0.004) bestLoss:0.588
[7200/30000] loss:0.597(gmm:0.594+l2:0.004) bestLoss:0.587
[7800/30000] loss:0.590(gmm:0.586+l2:0.004) bestLoss:0.587
[8400/30000] loss:0.586(gmm:0.583+l2:0.004) bestLoss:0.586
[9000/30000] loss:0.587(gmm:0.583+l2:0.004) bestLoss:0.586
[9600/30000] loss:0.588(gmm:0.585+l2:0.004) bestLoss:0.586
[10200/30000] loss:0.586(gmm:0.582+l2:0.004) bestLoss:0.586
[10800/30000] loss:0.585(gmm:0.581+l2:0.004) bestLoss:0.584
[11400/30000] loss:0.585(gmm:0.581+l2:0.004) bestLoss:0.583
[12000/30000] loss:0.584(gmm:0.581+l2:0.004) bestLoss:0.583
[12600/30000] loss:0.583(gmm:0.579+l2:0.004) bestLoss:0.582
[13200/30000] loss:0.584(gmm:0.581+l2:0.004) bestLoss:0.582
[13800/30000] loss:0.583(gmm:0.580+l2:0.004) bestLoss:0.582
[14400/30000] loss:0.582(gmm:0.579+l2:0.004) bestLoss:0.582
[15000/30000] loss:0.581(gmm:0.577+l2:0.004) bestLoss:0.581
[15600/30000] loss:0.581(gmm:0.577+l2:0.004) bestLoss:0.581
[16200/30000] loss:0.580(gmm:0.576+l2:0.004) bestLoss:0.580
[16800/30000] loss:0.580(gmm:0.577+l2:0.004) bestLoss:0.580
[17400/30000] loss:0.580(gmm:0.576+l2:0.004) bestLoss:0.580
[18000/30000] loss:0.580(gmm:0.576+l2:0.004) bestLoss:0.580
[18600/30000] loss:0.580(gmm:0.576+l2:0.004) bestLoss:0.580
[19200/30000] loss:0.580(gmm:0.576+l2:0.004) bestLoss:0.580
[19800/30000] loss:0.580(gmm:0.576+l2:0.004) bestLoss:0.580
[20400/30000] loss:0.580(gmm:0.576+l2:0.004) bestLoss:0.580
[21000/30000] loss:0.580(gmm:0.576+l2:0.004) bestLoss:0.580
[21600/30000] loss:0.579(gmm:0.576+l2:0.004) bestLoss:0.579
[22200/30000] loss:0.580(gmm:0.576+l2:0.004) bestLoss:0.579
[22800/30000] loss:0.579(gmm:0.576+l2:0.004) bestLoss:0.579
[23400/30000] loss:0.579(gmm:0.576+l2:0.004) bestLoss:0.579
[24000/30000] loss:0.579(gmm:0.576+l2:0.004) bestLoss:0.579
[24600/30000] loss:0.579(gmm:0.576+l2:0.004) bestLoss:0.579
[25200/30000] loss:0.579(gmm:0.576+l2:0.004) bestLoss:0.579
[25800/30000] loss:0.579(gmm:0.576+l2:0.004) bestLoss:0.579
[26400/30000] loss:0.580(gmm:0.576+l2:0.004) bestLoss:0.579
[27000/30000] loss:0.579(gmm:0.576+l2:0.004) bestLoss:0.579
[27600/30000] loss:0.579(gmm:0.576+l2:0.004) bestLoss:0.579
[28200/30000] loss:0.579(gmm:0.576+l2:0.004) bestLoss:0.579
[28800/30000] loss:0.579(gmm:0.576+l2:0.004) bestLoss:0.579
[29400/30000] loss:0.579(gmm:0.575+l2:0.004) bestLoss:0.579
[29999/30000] loss:0.579(gmm:0.576+l2:0.004) bestLoss:0.579
[30000/30000] loss:0.579(gmm:0.576+l2:0.004) bestLoss:0.579
