Text name: ../res/res_MLP_cosexp_oRate10_var1.0e-06.txt
[0/30000] loss:0.348(fit:0.348+l2:0.000) bestLoss:inf
[600/30000] loss:0.301(fit:0.301+l2:0.000) bestLoss:0.301
[1200/30000] loss:0.177(fit:0.177+l2:0.000) bestLoss:0.177
[1800/30000] loss:0.168(fit:0.168+l2:0.000) bestLoss:0.168
[2400/30000] loss:0.162(fit:0.162+l2:0.000) bestLoss:0.162
[3000/30000] loss:0.162(fit:0.162+l2:0.000) bestLoss:0.162
[3600/30000] loss:0.161(fit:0.161+l2:0.000) bestLoss:0.161
[4200/30000] loss:0.161(fit:0.161+l2:0.000) bestLoss:0.161
[4800/30000] loss:0.161(fit:0.161+l2:0.000) bestLoss:0.161
[5400/30000] loss:0.161(fit:0.161+l2:0.000) bestLoss:0.161
[6000/30000] loss:0.160(fit:0.160+l2:0.000) bestLoss:0.160
[6600/30000] loss:0.160(fit:0.160+l2:0.000) bestLoss:0.160
[7200/30000] loss:0.160(fit:0.160+l2:0.000) bestLoss:0.160
[7800/30000] loss:0.160(fit:0.160+l2:0.000) bestLoss:0.160
[8400/30000] loss:0.159(fit:0.159+l2:0.000) bestLoss:0.159
[9000/30000] loss:0.159(fit:0.159+l2:0.000) bestLoss:0.159
[9600/30000] loss:0.159(fit:0.159+l2:0.000) bestLoss:0.159
[10200/30000] loss:0.160(fit:0.160+l2:0.000) bestLoss:0.159
[10800/30000] loss:0.158(fit:0.158+l2:0.000) bestLoss:0.158
[11400/30000] loss:0.158(fit:0.158+l2:0.000) bestLoss:0.158
[12000/30000] loss:0.157(fit:0.157+l2:0.000) bestLoss:0.157
[12600/30000] loss:0.157(fit:0.157+l2:0.000) bestLoss:0.157
[13200/30000] loss:0.157(fit:0.157+l2:0.000) bestLoss:0.157
[13800/30000] loss:0.157(fit:0.156+l2:0.000) bestLoss:0.157
[14400/30000] loss:0.157(fit:0.157+l2:0.000) bestLoss:0.156
[15000/30000] loss:0.156(fit:0.156+l2:0.000) bestLoss:0.156
[15600/30000] loss:0.156(fit:0.156+l2:0.000) bestLoss:0.156
[16200/30000] loss:0.155(fit:0.155+l2:0.000) bestLoss:0.155
[16800/30000] loss:0.155(fit:0.155+l2:0.000) bestLoss:0.155
[17400/30000] loss:0.155(fit:0.155+l2:0.000) bestLoss:0.155
[18000/30000] loss:0.155(fit:0.155+l2:0.000) bestLoss:0.155
[18600/30000] loss:0.155(fit:0.155+l2:0.000) bestLoss:0.155
[19200/30000] loss:0.155(fit:0.155+l2:0.000) bestLoss:0.155
[19800/30000] loss:0.155(fit:0.155+l2:0.000) bestLoss:0.155
[20400/30000] loss:0.155(fit:0.155+l2:0.000) bestLoss:0.155
[21000/30000] loss:0.155(fit:0.155+l2:0.000) bestLoss:0.155
[21600/30000] loss:0.155(fit:0.155+l2:0.000) bestLoss:0.155
[22200/30000] loss:0.155(fit:0.155+l2:0.000) bestLoss:0.155
[22800/30000] loss:0.155(fit:0.155+l2:0.000) bestLoss:0.155
[23400/30000] loss:0.155(fit:0.155+l2:0.000) bestLoss:0.155
[24000/30000] loss:0.155(fit:0.155+l2:0.000) bestLoss:0.155
[24600/30000] loss:0.155(fit:0.154+l2:0.000) bestLoss:0.155
[25200/30000] loss:0.155(fit:0.154+l2:0.000) bestLoss:0.155
[25800/30000] loss:0.155(fit:0.154+l2:0.000) bestLoss:0.155
[26400/30000] loss:0.155(fit:0.154+l2:0.000) bestLoss:0.155
[27000/30000] loss:0.154(fit:0.154+l2:0.000) bestLoss:0.154
[27600/30000] loss:0.154(fit:0.154+l2:0.000) bestLoss:0.154
[28200/30000] loss:0.154(fit:0.154+l2:0.000) bestLoss:0.154
[28800/30000] loss:0.154(fit:0.154+l2:0.000) bestLoss:0.154
[29400/30000] loss:0.154(fit:0.154+l2:0.000) bestLoss:0.154
[29999/30000] loss:0.154(fit:0.154+l2:0.000) bestLoss:0.154
[30000/30000] loss:0.154(fit:0.154+l2:0.000) bestLoss:0.154
