Text name: ../res/res_MDN_linear_oRate0_var1.0e-06.txt
[0/30000] loss:2.101(gmm:2.098+l2:0.003) bestLoss:inf
[600/30000] loss:0.593(gmm:0.590+l2:0.003) bestLoss:0.593
[1200/30000] loss:0.588(gmm:0.585+l2:0.003) bestLoss:0.588
[1800/30000] loss:0.587(gmm:0.585+l2:0.003) bestLoss:0.587
[2400/30000] loss:0.585(gmm:0.582+l2:0.003) bestLoss:0.584
[3000/30000] loss:0.585(gmm:0.582+l2:0.003) bestLoss:0.584
[3600/30000] loss:0.583(gmm:0.580+l2:0.003) bestLoss:0.583
[4200/30000] loss:0.583(gmm:0.580+l2:0.003) bestLoss:0.583
[4800/30000] loss:0.582(gmm:0.579+l2:0.003) bestLoss:0.582
[5400/30000] loss:0.581(gmm:0.579+l2:0.003) bestLoss:0.581
[6000/30000] loss:0.582(gmm:0.580+l2:0.003) bestLoss:0.581
[6600/30000] loss:0.581(gmm:0.578+l2:0.003) bestLoss:0.581
[7200/30000] loss:0.581(gmm:0.579+l2:0.003) bestLoss:0.581
[7800/30000] loss:0.581(gmm:0.578+l2:0.003) bestLoss:0.581
[8400/30000] loss:0.580(gmm:0.577+l2:0.003) bestLoss:0.580
[9000/30000] loss:0.580(gmm:0.578+l2:0.003) bestLoss:0.580
[9600/30000] loss:0.580(gmm:0.577+l2:0.003) bestLoss:0.580
[10200/30000] loss:0.579(gmm:0.577+l2:0.003) bestLoss:0.579
[10800/30000] loss:0.579(gmm:0.577+l2:0.003) bestLoss:0.579
[11400/30000] loss:0.580(gmm:0.577+l2:0.003) bestLoss:0.579
[12000/30000] loss:0.579(gmm:0.576+l2:0.003) bestLoss:0.579
[12600/30000] loss:0.579(gmm:0.577+l2:0.003) bestLoss:0.579
[13200/30000] loss:0.579(gmm:0.576+l2:0.003) bestLoss:0.579
[13800/30000] loss:0.579(gmm:0.576+l2:0.003) bestLoss:0.579
[14400/30000] loss:0.579(gmm:0.576+l2:0.003) bestLoss:0.579
[15000/30000] loss:0.579(gmm:0.576+l2:0.003) bestLoss:0.579
[15600/30000] loss:0.579(gmm:0.576+l2:0.003) bestLoss:0.579
[16200/30000] loss:0.579(gmm:0.576+l2:0.003) bestLoss:0.579
[16800/30000] loss:0.579(gmm:0.576+l2:0.003) bestLoss:0.579
[17400/30000] loss:0.579(gmm:0.576+l2:0.003) bestLoss:0.579
[18000/30000] loss:0.578(gmm:0.576+l2:0.003) bestLoss:0.578
[18600/30000] loss:0.579(gmm:0.576+l2:0.003) bestLoss:0.578
[19200/30000] loss:0.579(gmm:0.576+l2:0.003) bestLoss:0.578
[19800/30000] loss:0.578(gmm:0.576+l2:0.003) bestLoss:0.578
[20400/30000] loss:0.578(gmm:0.576+l2:0.003) bestLoss:0.578
[21000/30000] loss:0.578(gmm:0.576+l2:0.003) bestLoss:0.578
[21600/30000] loss:0.578(gmm:0.576+l2:0.003) bestLoss:0.578
[22200/30000] loss:0.578(gmm:0.576+l2:0.003) bestLoss:0.578
[22800/30000] loss:0.578(gmm:0.576+l2:0.003) bestLoss:0.578
[23400/30000] loss:0.578(gmm:0.575+l2:0.003) bestLoss:0.578
[24000/30000] loss:0.578(gmm:0.576+l2:0.003) bestLoss:0.578
[24600/30000] loss:0.578(gmm:0.576+l2:0.003) bestLoss:0.578
[25200/30000] loss:0.578(gmm:0.576+l2:0.003) bestLoss:0.578
[25800/30000] loss:0.578(gmm:0.576+l2:0.003) bestLoss:0.578
[26400/30000] loss:0.578(gmm:0.576+l2:0.003) bestLoss:0.578
[27000/30000] loss:0.578(gmm:0.576+l2:0.003) bestLoss:0.578
[27600/30000] loss:0.578(gmm:0.576+l2:0.003) bestLoss:0.578
[28200/30000] loss:0.578(gmm:0.575+l2:0.003) bestLoss:0.578
[28800/30000] loss:0.578(gmm:0.575+l2:0.003) bestLoss:0.578
[29400/30000] loss:0.578(gmm:0.576+l2:0.003) bestLoss:0.578
[29999/30000] loss:0.578(gmm:0.576+l2:0.003) bestLoss:0.578
[30000/30000] loss:0.578(gmm:0.576+l2:0.003) bestLoss:0.578
