Text name: ../res/res_oRate60_noise1.0e-01_tauInv1e-02.txt
[0/30000] loss:0.835(gmm:0.835+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[600/30000] loss:0.552(gmm:0.551+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[1200/30000] loss:0.623(gmm:0.623+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[1800/30000] loss:0.616(gmm:0.615+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[2400/30000] loss:0.606(gmm:0.606+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[3000/30000] loss:0.539(gmm:0.539+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[3600/30000] loss:0.495(gmm:0.495+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[4200/30000] loss:0.480(gmm:0.480+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[4800/30000] loss:0.494(gmm:0.493+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[5400/30000] loss:0.551(gmm:0.550+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[6000/30000] loss:0.506(gmm:0.506+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[6600/30000] loss:0.503(gmm:0.502+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[7200/30000] loss:0.484(gmm:0.484+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[7800/30000] loss:0.504(gmm:0.504+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[8400/30000] loss:0.549(gmm:0.549+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[9000/30000] loss:0.483(gmm:0.483+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[9600/30000] loss:0.466(gmm:0.466+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[10200/30000] loss:0.490(gmm:0.490+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[10800/30000] loss:0.449(gmm:0.449+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[11400/30000] loss:0.497(gmm:0.497+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[12000/30000] loss:0.440(gmm:0.440+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[12600/30000] loss:0.463(gmm:0.463+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[13200/30000] loss:0.434(gmm:0.434+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[13800/30000] loss:0.472(gmm:0.472+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[14400/30000] loss:0.445(gmm:0.445+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[15000/30000] loss:0.433(gmm:0.433+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.462
[15600/30000] loss:0.415(gmm:0.414+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.436
[16200/30000] loss:0.420(gmm:0.420+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.422
[16800/30000] loss:0.435(gmm:0.435+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.422
[17400/30000] loss:0.440(gmm:0.440+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.422
[18000/30000] loss:0.420(gmm:0.420+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.422
[18600/30000] loss:0.441(gmm:0.441+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.422
[19200/30000] loss:0.420(gmm:0.420+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.422
[19800/30000] loss:0.425(gmm:0.425+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.422
[20400/30000] loss:0.421(gmm:0.421+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.422
[21000/30000] loss:0.406(gmm:0.406+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.422
[21600/30000] loss:0.429(gmm:0.429+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.422
[22200/30000] loss:0.430(gmm:0.430+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.422
[22800/30000] loss:0.426(gmm:0.426+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.422
[23400/30000] loss:0.434(gmm:0.434+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.416
[24000/30000] loss:0.435(gmm:0.434+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.416
[24600/30000] loss:0.428(gmm:0.428+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.410
[25200/30000] loss:0.445(gmm:0.445+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.410
[25800/30000] loss:0.412(gmm:0.411+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.410
[26400/30000] loss:0.428(gmm:0.428+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.410
[27000/30000] loss:0.423(gmm:0.422+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.410
[27600/30000] loss:0.431(gmm:0.431+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.410
[28200/30000] loss:0.425(gmm:0.425+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.410
[28800/30000] loss:0.438(gmm:0.438+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.410
[29400/30000] loss:0.418(gmm:0.417+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.410
[29999/30000] loss:0.431(gmm:0.431+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.410
[30000/30000] loss:0.426(gmm:0.426+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.410
