Text name: ../res/res_MLP_linear_oRate50_var1.0e-06.txt
[0/10000] loss:1.436(fit:1.436+l2:0.000) bestLoss:inf
[200/10000] loss:1.148(fit:1.148+l2:0.000) bestLoss:1.148
[400/10000] loss:1.148(fit:1.148+l2:0.000) bestLoss:1.148
[600/10000] loss:1.148(fit:1.148+l2:0.000) bestLoss:1.148
[800/10000] loss:1.148(fit:1.148+l2:0.000) bestLoss:1.148
[1000/10000] loss:1.148(fit:1.148+l2:0.000) bestLoss:1.148
[1200/10000] loss:1.147(fit:1.147+l2:0.000) bestLoss:1.147
[1400/10000] loss:1.147(fit:1.147+l2:0.000) bestLoss:1.147
[1600/10000] loss:1.147(fit:1.147+l2:0.000) bestLoss:1.147
[1800/10000] loss:1.147(fit:1.147+l2:0.000) bestLoss:1.147
[2000/10000] loss:1.147(fit:1.147+l2:0.000) bestLoss:1.147
[2200/10000] loss:1.148(fit:1.148+l2:0.000) bestLoss:1.147
[2400/10000] loss:1.146(fit:1.146+l2:0.000) bestLoss:1.146
[2600/10000] loss:1.147(fit:1.147+l2:0.000) bestLoss:1.146
[2800/10000] loss:1.146(fit:1.146+l2:0.000) bestLoss:1.146
[3000/10000] loss:1.145(fit:1.145+l2:0.000) bestLoss:1.145
[3200/10000] loss:1.145(fit:1.145+l2:0.000) bestLoss:1.145
[3400/10000] loss:1.145(fit:1.145+l2:0.000) bestLoss:1.145
[3600/10000] loss:1.145(fit:1.145+l2:0.000) bestLoss:1.144
[3800/10000] loss:1.144(fit:1.144+l2:0.000) bestLoss:1.144
[4000/10000] loss:1.143(fit:1.143+l2:0.000) bestLoss:1.143
[4200/10000] loss:1.142(fit:1.142+l2:0.000) bestLoss:1.142
[4400/10000] loss:1.142(fit:1.142+l2:0.000) bestLoss:1.142
[4600/10000] loss:1.142(fit:1.142+l2:0.000) bestLoss:1.142
[4800/10000] loss:1.141(fit:1.141+l2:0.000) bestLoss:1.141
[5000/10000] loss:1.140(fit:1.140+l2:0.000) bestLoss:1.140
[5200/10000] loss:1.140(fit:1.140+l2:0.000) bestLoss:1.140
[5400/10000] loss:1.140(fit:1.140+l2:0.000) bestLoss:1.140
[5600/10000] loss:1.139(fit:1.139+l2:0.000) bestLoss:1.139
[5800/10000] loss:1.139(fit:1.139+l2:0.000) bestLoss:1.139
[6000/10000] loss:1.139(fit:1.139+l2:0.000) bestLoss:1.139
[6200/10000] loss:1.139(fit:1.139+l2:0.000) bestLoss:1.139
[6400/10000] loss:1.139(fit:1.139+l2:0.000) bestLoss:1.139
[6600/10000] loss:1.139(fit:1.138+l2:0.000) bestLoss:1.139
[6800/10000] loss:1.138(fit:1.138+l2:0.000) bestLoss:1.138
[7000/10000] loss:1.138(fit:1.138+l2:0.000) bestLoss:1.138
[7200/10000] loss:1.138(fit:1.138+l2:0.000) bestLoss:1.138
[7400/10000] loss:1.137(fit:1.137+l2:0.000) bestLoss:1.137
[7600/10000] loss:1.137(fit:1.137+l2:0.000) bestLoss:1.137
[7800/10000] loss:1.137(fit:1.137+l2:0.000) bestLoss:1.137
[8000/10000] loss:1.137(fit:1.137+l2:0.000) bestLoss:1.137
[8200/10000] loss:1.137(fit:1.136+l2:0.000) bestLoss:1.137
[8400/10000] loss:1.136(fit:1.136+l2:0.000) bestLoss:1.136
[8600/10000] loss:1.136(fit:1.136+l2:0.000) bestLoss:1.136
[8800/10000] loss:1.136(fit:1.136+l2:0.000) bestLoss:1.136
[9000/10000] loss:1.136(fit:1.136+l2:0.000) bestLoss:1.136
[9200/10000] loss:1.136(fit:1.136+l2:0.000) bestLoss:1.136
[9400/10000] loss:1.135(fit:1.135+l2:0.000) bestLoss:1.135
[9600/10000] loss:1.135(fit:1.135+l2:0.000) bestLoss:1.135
[9800/10000] loss:1.135(fit:1.135+l2:0.000) bestLoss:1.135
[9999/10000] loss:1.135(fit:1.135+l2:0.000) bestLoss:1.135
[10000/10000] loss:1.135(fit:1.135+l2:0.000) bestLoss:1.135
