Text name: ../res/res_CN_cosexp_oRate60_var1.0e-01_tau_inv1e-08.txt
[0/30000] loss:0.840(gmm:0.840+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[600/30000] loss:0.583(gmm:0.583+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[1200/30000] loss:0.602(gmm:0.601+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[1800/30000] loss:0.550(gmm:0.550+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[2400/30000] loss:0.561(gmm:0.561+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[3000/30000] loss:0.541(gmm:0.541+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[3600/30000] loss:0.516(gmm:0.516+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[4200/30000] loss:0.510(gmm:0.510+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[4800/30000] loss:0.492(gmm:0.492+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[5400/30000] loss:0.501(gmm:0.501+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[6000/30000] loss:0.507(gmm:0.507+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[6600/30000] loss:0.537(gmm:0.537+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[7200/30000] loss:0.476(gmm:0.475+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[7800/30000] loss:0.487(gmm:0.486+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[8400/30000] loss:0.504(gmm:0.504+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[9000/30000] loss:0.455(gmm:0.455+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[9600/30000] loss:0.526(gmm:0.526+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[10200/30000] loss:0.448(gmm:0.448+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[10800/30000] loss:0.452(gmm:0.452+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[11400/30000] loss:0.485(gmm:0.485+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[12000/30000] loss:0.443(gmm:0.443+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[12600/30000] loss:0.444(gmm:0.444+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[13200/30000] loss:0.463(gmm:0.463+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[13800/30000] loss:0.471(gmm:0.470+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[14400/30000] loss:0.440(gmm:0.439+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[15000/30000] loss:0.455(gmm:0.454+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.442
[15600/30000] loss:0.408(gmm:0.408+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.441
[16200/30000] loss:0.413(gmm:0.413+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.419
[16800/30000] loss:0.436(gmm:0.436+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.419
[17400/30000] loss:0.427(gmm:0.427+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.419
[18000/30000] loss:0.417(gmm:0.417+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.408
[18600/30000] loss:0.425(gmm:0.424+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.408
[19200/30000] loss:0.426(gmm:0.425+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.408
[19800/30000] loss:0.427(gmm:0.427+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.408
[20400/30000] loss:0.428(gmm:0.427+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.408
[21000/30000] loss:0.423(gmm:0.423+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.408
[21600/30000] loss:0.434(gmm:0.433+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.405
[22200/30000] loss:0.414(gmm:0.414+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.405
[22800/30000] loss:0.434(gmm:0.434+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.405
[23400/30000] loss:0.417(gmm:0.416+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.405
[24000/30000] loss:0.412(gmm:0.412+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.405
[24600/30000] loss:0.422(gmm:0.422+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.405
[25200/30000] loss:0.446(gmm:0.446+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.405
[25800/30000] loss:0.421(gmm:0.421+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.401
[26400/30000] loss:0.419(gmm:0.419+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.401
[27000/30000] loss:0.404(gmm:0.404+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.401
[27600/30000] loss:0.435(gmm:0.435+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.401
[28200/30000] loss:0.428(gmm:0.428+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.401
[28800/30000] loss:0.431(gmm:0.431+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.401
[29400/30000] loss:0.418(gmm:0.418+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.401
[29999/30000] loss:0.432(gmm:0.432+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.401
[30000/30000] loss:0.435(gmm:0.435+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.401
